target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	569.15	4	0.757505
Phel_contig_10	2138	1798.88	539.544	32.3279
Phel_contig_100	10344	10004.9	2030	21.8694
Phel_contig_1000	4676	4336.88	9891	245.819
Phel_contig_10000	843	510.655	12	2.53283
Phel_contig_10001	1108	768.88	18	2.52329
Phel_contig_10002	3127	2787.88	105.846	4.09217
Phel_contig_10003	1120	780.88	47.7451	6.59017
Phel_contig_10004	712	391.374	60	16.5239
Phel_contig_10005	1319	979.88	58	6.37981
Phel_contig_10006	861	527.435	47	9.60465
Phel_contig_10007	777	449.736	40	9.58639
Phel_contig_10008	510	226.227	6.18296	2.94581
Phel_contig_10009	609	302.93	36.9722	13.1548
Phel_contig_1001	1473	1133.88	452	42.9659
Phel_contig_10010	771	444.262	4	0.970451
Phel_contig_10011	1568	1228.88	232.59	20.4002
Phel_contig_10012	692	373.871	237	68.325
Phel_contig_10013	2373	2033.88	110	5.82935
Phel_contig_10014	793	464.605	77	17.8632
Phel_contig_10015	1463	1123.88	40.6089	3.89452
Phel_contig_10016	938	600.541	22.0943	3.96542
Phel_contig_10017	1069	729.88	301.184	44.4767
Phel_contig_10018	846	513.525	164.216	34.4673
Phel_contig_10019	679	362.296	99.0653	29.4721
Phel_contig_1002	859	525.554	3	0.615257
Phel_contig_10020	1174	834.88	96	12.3937
Phel_contig_10021	2110	1770.88	349	21.2417
Phel_contig_10022	806	476.564	28	6.3327
Phel_contig_10023	1575	1235.88	0	0
Phel_contig_10024	928	590.975	99	18.0559
Phel_contig_10025	1488	1148.88	265	24.8613
Phel_contig_10026	598	293.819	64	23.4775
Phel_contig_10027	1401	1061.88	1245	126.371
Phel_contig_10028	543	250.664	2	0.859984
Phel_contig_10029	1102	762.88	42	5.93397
Phel_contig_1003	1146	806.88	214	28.5863
Phel_contig_10030	2857	2517.88	374	16.0099
Phel_contig_10031	2059	1719.88	128.22	8.03542
Phel_contig_10032	935	597.647	61	11.0011
Phel_contig_10033	516	230.562	0	0
Phel_contig_10034	4128	3788.88	365.018	10.3838
Phel_contig_10035	2487	2147.88	81	4.06469
Phel_contig_10036	1004	664.88	13.4342	2.17782
Phel_contig_10037	2471	2131.88	210.827	10.659
Phel_contig_10038	834	502.269	77	16.5237
Phel_contig_10039	1685	1345.88	69.1606	5.53866
Phel_contig_1004	1581	1241.88	322.331	27.9753
Phel_contig_10040	2252	1912.88	460.274	25.9347
Phel_contig_10041	1570	1230.88	106.073	9.28842
Phel_contig_10042	516	230.562	0	0
Phel_contig_10043	2675	2335.88	410	18.9185
Phel_contig_10044	2379	2039.88	377	19.92
Phel_contig_10045	1053	713.88	4	0.603931
Phel_contig_10046	1354	1014.88	130.954	13.9078
Phel_contig_10047	604	298.819	53	19.117
Phel_contig_10048	4774	4434.88	210.603	5.11842
Phel_contig_10049	1759	1419.88	155	11.7661
Phel_contig_1005	669	353.518	1288	392.697
Phel_contig_10050	2528	2188.88	361.897	17.8203
Phel_contig_10051	991	651.995	0	0
Phel_contig_10052	1533	1193.88	103	9.29884
Phel_contig_10053	1349	1009.88	177	18.891
Phel_contig_10054	842	509.706	0	0
Phel_contig_10055	1012	672.88	6.17494	0.989116
Phel_contig_10056	605	299.641	72.3871	26.0383
Phel_contig_10057	565	267.503	41	16.5199
Phel_contig_10058	1421	1081.88	359	35.7658
Phel_contig_10059	671	355.247	169.732	51.4975
Phel_contig_1006	680	363.201	81	24.0376
Phel_contig_10060	1142	802.88	49	6.57806
Phel_contig_10061	959	620.884	0	0
Phel_contig_10062	725	402.524	125	33.4712
Phel_contig_10063	519	232.865	5	2.3143
