PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g8757.t1	0	0	1	0	0	0	0	0	1	0	0	0	1	0
g17014.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6745.t1	0	2	0	0	0	4	0	2	0	18	0	3	0	0
g10697.t1	0	0	1	0	0	1	0	0	1	9	9	0	3	3
g8664.t1	0	0	3	2	8	2	5	1	4	12	6	1	10	0
g16858.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g15401.t1	7	0	1	3	19	5	0	6	2	2	0	1	15	2
g11787.t2	27	3	0	0	17	0	0	0	0	0	80	0	0	151
g23635.t1	16	3	3	8	8	10	14	5	3	36	20	4	11	12
g12079.t1	0	0	1	0	1	0	0	5	0	6	0	0	0	0
g18254.t1	0	0	2	0	0	0	5	0	0	2	0	15	0	0
g23219.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g20244.t1	18	45	56	62	52	43	96	1	4	7	38	4	5	14
g22755.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g17234.t1	0	1	3	0	0	6	0	7	1	2	1	0	1	0
g571.t1	3	2	2	1	0	3	6	0	0	2	2	0	0	0
g6147.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g4121.t1	43	66	57	33	15	43	44	46	37	25	16	33	44	27
g19135.t1	3	1	1	1	1	11	0	2	0	347	155	0	103	175
g17183.t1	1	0	2	2	0	0	0	4	4	1	3	0	0	0
g10245.t1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
g1583.t1	6	36	21	12	1	38	19	1	23	5	18	0	1	4
g16238.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g15001.t1	149	9	8	21	33	95	2	8	1	122	652	3	54	396
g22979.t1	362	704	402	533	1208	565	634	320	127	103	162	66	122	58
g20083.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g11486.t1	6	12	14	28	3	15	10	0	7	2	0	10	27	6
g21513.t1	51	75	74	41	67	48	94	35	18	12	26	3	27	13
g5663.t1	764	490	717	748	577	896	1198	1354	951	536	735	1239	1002	795
g22260.t1	554	1290	1084	596	3034	1556	1736	432	524	5057	2792	13311	17437	4602
g391.t1	9	19	9	15	30	21	23	3	28	9	4	1	6	8
g23636.t1	1	13	2	7	12	2	5	8	1	10	1	0	2	1
g7562.t1	122	147	139	106	113	57	197	73	85	66	53	20	57	15
g21371.t1	1	4	6	1	11	9	6	0	4	5	14	2	8	0
g13537.t1	42	26	23	10	18	28	63	6	12	37	67	12	43	38
g18403.t1	0	0	0	0	0	93	0	2	0	0	0	0	0	0
g22760.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
