PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g8757.t1	0	13	1	0	0	0	1	0
g17014.t1	0	2	0	0	0	0	0	0
g6745.t1	2	24	0	18	0	3	0	0
g10697.t1	0	3	1	9	9	0	3	3
g8664.t1	1	3	4	12	6	1	10	0
g16858.t1	0	2	0	0	0	0	0	0
g15401.t1	6	75	2	2	0	1	15	2
g11787.t2	0	0	0	0	80	0	0	151
g23635.t1	5	85	3	36	20	4	11	12
g12079.t1	5	9	0	6	0	0	0	0
g18254.t1	0	4	0	2	0	15	0	0
g23219.t1	0	0	0	0	0	0	0	0
g20244.t1	1	13	4	7	38	4	5	14
g22755.t1	0	0	0	0	1	0	0	0
g17234.t1	7	27	1	2	1	0	1	0
g571.t1	0	15	0	2	2	0	0	0
g6147.t2	0	0	0	0	0	0	0	0
g4121.t1	46	15	37	25	16	33	44	27
g19135.t1	2	4	0	347	155	0	103	175
g17183.t1	4	1	4	1	3	0	0	0
g10245.t1	2	1	0	0	0	0	0	0
g1583.t1	1	11	23	5	18	0	1	4
g16238.t1	0	0	0	0	0	0	0	0
g15001.t1	8	68	1	122	652	3	54	396
g22979.t1	320	105	127	103	162	66	122	58
g20083.t1	1	0	0	0	0	0	0	0
g11486.t1	0	1	7	2	0	10	27	6
g21513.t1	35	6	18	12	26	3	27	13
g5663.t1	1354	158	951	536	735	1239	1002	795
g22260.t1	432	102	524	5057	2792	13311	17437	4602
g391.t1	3	8	28	9	4	1	6	8
g23636.t1	8	33	1	10	1	0	2	1
g7562.t1	73	11	85	66	53	20	57	15
g21371.t1	0	73	4	5	14	2	8	0
g13537.t1	6	12	12	37	67	12	43	38
g18403.t1	2	0	0	0	0	0	0	0
g22760.t2	0	0	0	0	0	0	0	0
g22297.t1	13	13	1	78	36	3	51	34
g10542.t1	15	54	0	20	16	0	14	11
g9666.t1	32	8	26	18	2	4	42	12
g20971.t1	654	65	201	2091	5574	13673	13334	17939
g18037.t1	27	33	15	43	46	4	23	18
g19089.t1	4	7	4	0	1	0	0	0
g24025.t1	35	18	1	252	72	37	99	74
g288.t1	2	2	0	0	1	1	0	1
g12918.t1	261	24	129	86	106	73	165	125
g3969.t1	7	12	3	41	7	7	8	27
g1230.t1	81	16	145	49	53	36	68	28
g21773.t1	0	3	3	0	0	0	0	0
g10500.t1	1	16	4	58	61	2	15	96
g14881.t1	0	0	0	0	0	0	0	0
g20407.t1	9	83	5	101	340	12	948	57
g2896.t1	1	4	0	0	0	0	0	0
g5665.t1	0	7	2	0	0	0	0	0
g16935.t1	70	91	81	17	295	44	29	136
g16617.t1	2	1	0	0	1	0	0	0
g12795.t1	22	22	62	122	95	54	98	93
g10733.t1	11	27	15	134	67	15	62	50
g16352.t1	8	149	29	256	130	5	88	87
g5838.t1	4	30	4	31	14	1	19	7
g9312.t1	9	5	2	25	28	4	16	4
g2129.t1	2	3	1	7	18	1	6	4
g21179.t1	84	79	49	416	213	20	191	167
g11793.t1	1	1	0	0	0	0	1	0
g10717.t1	5	0	15	0	0	16	0	0
g24176.t1	1	2	0	10	2	0	2	6
g3259.t1	1	3	0	2	0	0	0	0
g18239.t1	4	9	0	9	0	1	2	0
g19271.t1	11	0	53	0	0	34	0	20
g274.t3	16	27	0	0	11	21	0	0
g24016.t1	0	0	0	1	0	0	0	0
g9057.t1	107	71	199	122	96	87	200	88
g21691.t1	8	12	4	0	3	1	7	3
g13085.t1	128	33	78	131	109	45	87	106
g10100.t1	38	9	38	50	43	10	28	37
g12364.t1	32	5	54	23	25	15	53	23
g20819.t1	105	58	75	114	92	65	118	86
g17600.t1	0	0	0	0	0	0	0	0
g17396.t1	1	5	0	4	0	0	0	0
g10643.t2	13	45	0	158	72	0	119	0
g15357.t1	10	16	14	26	14	7	6	6
g4771.t1	226	72	109	251	280	164	240	223
g3994.t1	250	33	119	227	191	192	235	214
g18939.t1	2	60	2	3	2	1	2	1
g4617.t1	8	17	8	304	74	8	102	148
g10839.t1	2	7	2	198	41	0	23	88
g20296.t1	5	51	0	1	6	0	5	7
g23699.t1	252	30	243	312	246	214	369	177
g10808.t1	1	4	1	28	3	1	12	10
g5982.t1	164	41	866	2185	1009	3034	2945	1969
g2142.t1	1	19	1	0	0	0	0	0
g2235.t1	3	1	0	1	0	0	1	0
g8385.t1	28	64	11	8	15	12	15	9
g20826.t1	12	27	21	38	60	96	117	45
g15373.t1	12	26	22	55	20	6	16	27
g19136.t1	0	2	0	32	38	4	74	498
g2121.t2	0	2	0	0	0	0	0	0
g7461.t2	11	15	10	31	23	6	19	0
g2229.t1	5	1	12	10	12	0	3	5
g723.t1	100	142	116	141	95	118	116	83
g22146.t1	0	2	0	0	0	0	0	0
g10360.t1	3	6	1	18	5	1	5	2
g2318.t1	0	2	2	3	3	1	0	0
g7990.t1	4	37	0	1	0	0	0	0
g24040.t1	15	12	7	8	13	1	6	3
