baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g10022.t1	113.025572466191	-8.31263088411255	1.9456748766484	-4.27236378691994	1.93411700936555e-05	0.00552264795289609
g10044.t1	2586.19918248405	-4.15820624264897	0.926706661555796	-4.48707926159502	7.22062172754669e-06	0.00259383366316
g10045.t1	327.365665390876	-5.14819947907773	1.13916705489836	-4.51926647364031	6.2054251737216e-06	0.00238288326670909
g10115.t1	463.481245984489	-3.65096139267234	1.01289544329981	-3.60448002488612	0.000312778502463244	0.0362823062857363
g10201.t3	61.256509904924	6.88277723923395	1.83675329784704	3.7472518749805	0.000178782542129988	0.025524646014866
g10278.t1	265.235725657796	-4.77475010167293	1.09889438978823	-4.3450491203191	1.39244501055429e-05	0.00443036218215215
g10641.t1	52.4775068069927	9.58573503545358	2.66804117448318	3.59279876455071	0.00032714523075877	0.0375576215436047
g10708.t1	60.1102338044368	21.8525750445121	5.94834190462774	3.67372545070266	0.00023903957337496	0.0305970653919948
g10964.t2	163.129407205545	-9.77205767550409	1.8812704818417	-5.19439270951489	2.05389180039598e-07	0.000175939531455459
g11235.t1	1362.49735265622	-4.9389006876189	0.973791144058771	-5.07182748349252	3.94013503768299e-07	0.000259801945858479
g11237.t1	8722.28323076194	-5.10087728744821	0.957877472218084	-5.32518765227508	1.00848872318849e-07	0.00012478367134919
g11238.t2	231.004608195676	-4.98070417642822	1.17409252377554	-4.24217348766665	2.21365462447795e-05	0.00616281447454662
g11257.t1	808.66703043451	-3.68449375735029	0.966344946279111	-3.81281422491767	0.000137393384990417	0.0215199642051528
g11286.t1	70.8098008753184	21.1479095113265	5.94823617927072	3.55532444811553	0.000377512942746177	0.0420398413042142
g11365.t2	294.596257221561	11.055411323566	2.31593412277049	4.7736294460486	1.80935160294139e-06	0.00100744697251777
g11528.t1	97944.483655246	4.62538661544795	1.19345362001519	3.87563164405925	0.00010634846398162	0.0186233656341589
g11894.t6	62.3349984107583	8.90452397107467	2.55064611203203	3.49108562299953	0.000481062056815939	0.0465835396930634
g12143.t1	412.704963516016	-5.41146941648193	1.16824971784109	-4.63211703271992	3.61945441718154e-06	0.00155024016883591
g12219.t2	102.292986268414	20.4707025611602	5.22129457923223	3.92061820119913	8.83221010661063e-05	0.0166704223300366
g12493.t1	1305.60275615926	-5.48189617321368	0.999841754186516	-5.48276379763097	4.18731932725547e-08	6.66142686118813e-05
g12497.t1	1399.68097389805	-6.73924492403893	1.40328798514581	-4.80246748734095	1.56722272524686e-06	0.000918557487807844
g1295.t1	3290.00019158556	-4.1657359679798	1.02804419992119	-4.0520981182513	5.07603676860898e-05	0.0114441474489499
g1296.t1	13226.5820725336	-4.80783297569535	1.0159154618046	-4.73251284821975	2.21757262898792e-06	0.00107369081723519
g1311.t1	925.113100613432	-4.08301108345323	1.11433193170182	-3.66408873989423	0.000248220722309454	0.0309586714415959
g13978.t1	353.070309158782	-3.58398233676073	1.02217033571517	-3.50624764927577	0.000454472155121916	0.0451875171378362
g14047.t1	1651.95226286794	-3.99750271770398	1.06097325685	-3.76776953791696	0.000164712655813983	0.0241347386203226
g14067.t1	2431.04349046134	-5.45469101205879	1.07401606940491	-5.07877970120237	3.79866872931198e-07	0.000259801945858479
g14137.t1	308.317369911973	5.56550280694013	1.58600308377821	3.50913744359302	0.000449562519692047	0.0451875171378362
g14305.t1	434.859323445447	-5.52693409321078	1.01650123391505	-5.43721336365112	5.41203157124477e-08	7.53354794717271e-05
g14368.t2	110.954940232183	-5.83343432273959	1.58403710847506	-3.6826374152026	0.000230833366852326	0.0305970653919948
g14512.t1	716.249772687269	-4.68827471800257	1.08225580131237	-4.3319469503582	1.47796557355699e-05	0.00457184017420295
g14517.t1	760.389899711782	-4.44645731748511	0.993283096167549	-4.47652571018391	7.58675355300035e-06	0.00264019023644412
g14560.t1	1566.38330900531	-3.62985094497139	0.976800146566675	-3.71606306339106	0.000202351097213343	0.0281672727320973
g14584.t1	1265.1349204661	-3.60717843350859	0.940556004968425	-3.83515539154916	0.000125484933890355	0.020491518188997
g14832.t1	124.935142135634	6.3398893321062	1.58273332474137	4.00565858632072	6.18449240092276e-05	0.0130932834077287
g15463.t1	45.591600128285	-8.13078103404409	2.14686660136085	-3.78727817969228	0.000152306551625426	0.022920077822983
g15518.t3	119.266513021696	9.58053185544478	2.47142695587886	3.87651831370345	0.000105961837819815	0.0186233656341589
g16092.t3	168.585378031988	-22.504131893479	5.38741434781234	-4.17716745744965	2.95161728787299e-05	0.00780188887024382
g16107.t1	207.470552033586	-4.22955252754177	1.15782299093022	-3.65302171460911	0.000259172304588018	0.0317158547680459
g16109.t1	10000.587928876	-3.25422717904424	0.92440568864731	-3.52034525426405	0.000430985396456446	0.0451875171378362
g16111.t1	21468.3364020074	-4.07274131663036	0.966647536705892	-4.21326405124799	2.51706512467877e-05	0.00683659444595678
g16237.t1	188.735796292464	5.96475913705799	1.53404054396691	3.88826694347567	0.000100962551235058	0.0184314585336656
g16388.t1	328.403437096082	-3.70053977744865	1.01987596980489	-3.62842138358903	0.000285159556634241	0.0341455572331065
g16574.t3	35.3519454305899	-8.77890678408808	2.26606577856184	-3.87407411873966	0.000107030836977924	0.0186233656341589
g16766.t1	1109.71699187531	-4.97261931592027	0.980680893402368	-5.07057835976419	3.96608573957808e-07	0.000259801945858479
g16766.t2	1109.71699187531	-4.97261931592027	0.980680893402368	-5.07057835976419	3.96608573957808e-07	0.000259801945858479
g16787.t1	492.373874670564	11.3455023328177	2.55499569849864	4.44051719518921	8.9742933285134e-06	0.00302841607594925
g16787.t2	391.6036659606	-7.23463730495335	1.88782191573892	-3.83226682805069	0.000126967919813289	0.020491518188997
g16890.t1	3660.04063963393	3.84444707010203	1.04980730034243	3.66205023421729	0.000250204779969795	0.0309586714415959
g17815.t2	104.715236239081	-9.15215602492943	1.95356842877394	-4.68484025956201	2.80178358297894e-06	0.00130002758250223
g1802.t1	60.6882928246091	21.0358665480042	5.94827558690077	3.53646468471118	0.000405520714490707	0.0442733203585149
g1807.t4	695.62351793014	9.48695741653133	2.47058137668323	3.83996961446688	0.000123049539174218	0.0204519353469268
g1826.t1	138.752786705642	4.7033808786146	1.34128415645256	3.5066252411824	0.000453827813070035	0.0451875171378362
g19034.t1	554.079149069344	-3.8162588734955	1.03729995960322	-3.67903115985396	0.000234121664946781	0.0305970653919948
g19085.t1	836.497693344909	7.72282611166863	1.93980908771068	3.98122998835053	6.85595720380481e-05	0.0138814435311946
g19142.t1	1246.51295897648	-3.90232812465999	1.1073719640724	-3.52395423693864	0.00042515767189535	0.0451875171378362
g1917.t2	79.8237169235093	9.44182818310372	2.42399922360487	3.89514488748979	9.81400481396804e-05	0.0182147929347247
g19443.t1	234.253983650395	-5.2533141372728	1.14358260501256	-4.59373386255302	4.35384583288792e-06	0.00179571952574222
g19640.t1	120.904837801383	9.16188498141464	2.41356211089344	3.79600132934766	0.000147048709530094	0.0224319784839333
g19742.t2	45.3213226843295	9.72015536730354	2.6813472006825	3.62510135383788	0.000288848146516765	0.0342192868043691
g2008.t1	90.4343126315587	7.47731332312387	1.86752284683475	4.00386712044626	6.23153754139385e-05	0.0130932834077287
g20406.t1	1881.22325234205	-3.37578843236953	0.966523009846847	-3.49271398402036	0.00047813833603731	0.0465835396930634
g21138.t1	766.075829220065	-5.08478497141011	0.977845525468349	-5.19998797251202	1.99301422699588e-07	0.000175939531455459
g21145.t1	230.803729096073	-10.249571629206	1.83519565799455	-5.58500211383806	2.33697371630446e-08	4.33742321746107e-05
g2117.t3	45.4889835403109	9.47132359325466	2.7186465726585	3.48383776269707	0.000494279007170495	0.0466465341004291
g21207.t1	5389.2720593426	-4.12454874869433	1.09891864528653	-3.75327943190818	0.000174536109525107	0.0252420015022285
g21210.t1	2035.38006834617	-3.87750129355453	1.07216801013489	-3.61650530224896	0.000298607203950873	0.0350030507704939
g21295.t1	59.6750268688332	22.4933679521969	5.94823792625473	3.78151785975375	0.000155875036769568	0.0231443254595455
g21853.t1	555.419057075739	-3.69716825282239	1.00599278958432	-3.6751438888047	0.00023771540285422	0.0305970653919948
g22172.t2	714.999983926948	-5.84722670700438	0.984025747137688	-5.94214808302797	2.81311113646517e-09	1.56634028078381e-05
g22205.t1	96.0343179154459	4.67990152662976	1.34260220036795	3.48569481365903	0.000490860659793631	0.0466465341004291
g22526.t1	120.502407016129	5.29555659288379	1.39002073276892	3.80969612038451	0.000139137699602281	0.0215199642051528
g22584.t1	155.074242430278	10.6210447702684	2.56242718134611	4.14491574534769	3.39938677825071e-05	0.00860353890059088
g23131.t1	1639.20156548203	-4.19826916830165	1.01877209175453	-4.12091104799639	3.77377119711914e-05	0.00933882578913749
g23188.t1	383.122619676172	-6.08990398976045	1.0464912744245	-5.81935477016711	5.90752272652979e-09	1.82633422511929e-05
g23189.t1	1239.54722131332	-4.98096736690363	1.04619563978756	-4.76102860447312	1.92608743449332e-06	0.00102137665097703
g23190.t1	12264.6018927247	-6.3311530826539	1.03962225491283	-6.08985913175236	1.13010081883406e-09	1.25848027185361e-05
g23696.t3	104.856094326568	8.40406354477442	2.40968102989831	3.48762489329515	0.00048733125777972	0.0466465341004291
g24064.t1	9402.99563005662	-4.87232049172934	0.976319862555755	-4.99049612590576	6.02244085382908e-07	0.000372588340823559
g2494.t3	86.7228876354944	9.93852553342415	2.5052923473022	3.96701229065198	7.27792407168848e-05	0.0142187653442672
g2638.t1	168.449649748675	6.56065009615944	1.64561999823	3.98673454577361	6.69889029147606e-05	0.0138146004233106
g2646.t1	102.701670522968	6.0097449659125	1.62968181160102	3.68767996496718	0.000226308030849688	0.0305970653919948
