baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g10002.t1	123.638504919869	0.728530719335967	0.284790842860068	2.55812550719522	0.0105238102589992	0.0335794643644705
g10011.t1	35.8189935896519	1.04172239813784	0.326622043971466	3.18938178657914	0.00142577439203354	0.00637828399897697
g10017.t1	415.554081814329	-2.45706776295388	0.303047872931799	-8.10785351892848	5.15217946613189e-16	4.86038091480119e-14
g1002.t1	2.5439279877789	-2.50302398724782	1.0451080709129	-2.3949905822289	0.0166207921781166	0.0483507512687544
g10020.t1	54.3581959967721	0.919282351165508	0.345738485834291	2.65889505748027	0.00783973781892333	0.0264612156457015
g10022.t5	48.1102954756785	-4.92076110418956	1.40834059705343	-3.49401353229818	0.000475816899324485	0.00252932945886044
g10023.t1	51.7948544734702	1.03759759166576	0.280108323870216	3.7042726090015	0.000211998178699112	0.00129585390150777
g10026.t1	99.7016513478145	-0.847072682216272	0.265034831156021	-3.19608060012919	0.00139308190464591	0.00624431348149912
g1003.t1	57.3587520628916	1.34407201075077	0.563242575768738	2.38631110035729	0.0170183477941924	0.0491926853565254
g10035.t1	314.02111115673	2.1693521889789	0.284864323990626	7.61538741878497	2.62901705102084e-14	1.90846127842013e-12
g10042.t1	939.180713768951	-4.56860974751537	0.604428498657724	-7.55856111626279	4.0755251108598e-14	2.86701287094195e-12
g10043.t1	2358.46355319966	-4.5101087325255	0.599012172965518	-7.52924387195237	5.10349877008344e-14	3.52951767981007e-12
g10044.t1	2113.1602926672	-3.3314111396037	0.607130174099286	-5.48714473719914	4.08482430778434e-08	7.66456813974823e-07
g10045.t1	254.912891728022	-4.81144802781783	0.716356733811211	-6.71655308133928	1.86073545713521e-11	7.6642083587555e-10
g10048.t1	199.767891571062	-1.67249783521761	0.411125384580341	-4.06809673629086	4.73987045129063e-05	0.000366150520786304
g10052.t1	97.2368341496726	-0.888326756475261	0.35647298639859	-2.49198898758061	0.0127029975912228	0.0389143991655739
g10053.t1	114.326254480681	-0.706037436382457	0.192549829306509	-3.66677778383567	0.000245626069040263	0.00147023721032843
g10054.t1	68.8604658082284	-0.61911931086753	0.251812478375936	-2.45865222748507	0.0139459638674494	0.0419649899060058
g1006.t1	81.0503947258815	0.826814712668248	0.294268280907479	2.80973100504912	0.00495829220651397	0.01801903066919
g10068.t1	77.3811232005619	-1.35775414343169	0.495956596082654	-2.73764711298529	0.00618804364755485	0.0217021486224251
g1007.t1	60.4569061822649	-0.763995997421221	0.25006704856818	-3.05516461203372	0.00224937026435136	0.00933256154875083
g1008.t1	6.95043550456459	-4.80171370075716	1.26132136721365	-3.80689158653079	0.000140724396853878	0.000920667666345714
g10087.t1	40.4384892395032	-5.13764846811617	1.26566737242307	-4.05924066627423	4.92325517340211e-05	0.000378725354206152
g1009.t1	393.59636411493	-2.70659555938682	0.422373051731329	-6.40806876360209	1.47374442764777e-10	5.03656463745867e-09
g10092.t1	85.7369225149799	-1.022710873827	0.395680156204027	-2.58469083625123	0.00974663499291635	0.0315451960379432
g10093.t1	254.466293470213	-1.35933596835772	0.478632310969825	-2.84004221445764	0.00451075641315529	0.0166858862547347
g10094.t1	974.149552607024	-1.4430415755165	0.483667547752414	-2.98354020695055	0.00284934596398486	0.0113812607275578
g10095.t1	1337.16836870552	-1.41269653196603	0.503826120047501	-2.80393666734238	0.00504828203434387	0.0182521304667208
g101.t1	2.97275251359429	-3.97624873035301	1.53337917124139	-2.59312817398839	0.00951073181617196	0.0309038398426756
g1010.t1	126.095315460824	-2.81739446897979	0.418247900006299	-6.7361831797299	1.62601275218114e-11	6.84899322014406e-10
g10103.t1	191.137699999242	2.05298386824203	0.378308555213468	5.42674449189655	5.73911925680683e-08	1.0296714312541e-06
g10104.t1	1095.69983595937	-4.75156958079403	0.540307538556786	-8.79419449427993	1.44077819452957e-18	2.21760679851239e-16
g10105.t1	50.4454762492503	-4.86288325135745	1.13200027638949	-4.29583221204467	1.74039186369852e-05	0.000152439955958269
g10105.t2	490.608971387071	-5.30384688274717	0.5595808286669	-9.47824980956303	2.58583618626742e-21	5.93376726816752e-19
g10106.t1	748.289295972709	-4.64735915179358	0.524768159524698	-8.85602349807746	8.2919408461025e-19	1.29575817603484e-16
g10108.t1	19.7395768467419	1.24515806508178	0.410003923229878	3.03694183039233	0.00238991571109025	0.00981817469832
g10109.t1	1207.87869970233	2.01272395183017	0.518728620064538	3.88010970279557	0.000104409362309244	0.000713167853130643
g1011.t1	92.8186064504106	1.33801444160139	0.250087465158041	5.35018594696796	8.78639051575878e-08	1.4901922141516e-06
g10111.t1	11.9890140651964	5.48803019862642	0.908565987683285	6.04032098166048	1.53807946311293e-09	4.12120742007654e-08
g10112.t1	25.6893465203296	4.45645835563724	0.651368133987862	6.84168924315276	7.82647242006742e-12	3.56827877307796e-10
g10114.t1	46.8341403676377	1.15710064625025	0.307996474027507	3.75686328846387	0.000172056428462635	0.00109418053652023
g10115.t1	470.26979598208	-1.46273913663734	0.554898564766502	-2.63604779236158	0.00838779167819976	0.0279788957869362
g10117.t1	66.0168113192888	-1.71263278122691	0.522006740650138	-3.28086334497116	0.00103489872362677	0.00485776902843961
g10118.t1	19.6589446625388	1.0273493460623	0.335939107923125	3.05814155551487	0.00222714343548946	0.00925534983108093
g10124.t1	51.4475310619886	-3.2014018707792	1.17130030547971	-2.73320330900799	0.00627216029360553	0.0219482723710083
g10125.t1	1.91801483013712	-3.80197929192345	1.53835233377693	-2.47146197164658	0.0134561862108624	0.0408333216606232
g10140.t1	391.769066663546	1.3275659396279	0.277191387589382	4.78934771809898	1.67324320881848e-06	1.99145126323972e-05
g10143.t1	39.8201156594553	1.15958971891991	0.298250005416768	3.8879788696048	0.000101082424019438	0.000692986705325488
g10147.t1	25.4781005674856	-0.901397527148468	0.37585149427773	-2.39828107875605	0.0164722197028709	0.047972125299134
g10157.t1	55.7481945472611	1.57829527923456	0.420039508927732	3.75749243985072	0.000171624550394995	0.00109188247226086
g10158.t1	17.1777629889921	1.16358445285156	0.3902875665982	2.98135157876928	0.00286979117544144	0.0114554973344789
g10162.t1	319.630377020056	2.16088064997586	0.317581747487197	6.80417142066069	1.01632465943198e-11	4.48387545328277e-10
g10164.t1	73.9939459994159	0.499942670859023	0.209464287735688	2.38676805608923	0.0169972111203496	0.049145467350943
g10168.t1	4.08217368110044	-2.53807538915746	1.06362503722271	-2.38625013546575	0.0170211694932446	0.0491938953404223
g10173.t1	63.7844191679601	2.87391343803257	0.547764263570809	5.24662455943708	1.54911128201644e-07	2.4833090880312e-06
g10176.t1	2.55602127599451	3.13385739332437	1.0640709564231	2.94515828517574	0.00322789483566031	0.0126683733092029
g10178.t1	25.3406718733825	1.38088297952194	0.31830215296969	4.33827722068042	1.43603948112422e-05	0.000128991506003045
g10179.t1	57.3690219408106	1.11977604275492	0.420699308344849	2.66170164900066	0.00777467566535257	0.0262762729974298
g10188.t1	762.251407389833	0.81070551953355	0.282910576302123	2.86558929726187	0.0041623386241102	0.0156171616521554
g1019.t1	998.434162908386	-1.26066721372715	0.200020112570344	-6.30270225092386	2.92500474616754e-10	9.3413061090165e-09
g10192.t1	409.09329672339	-0.781987056101666	0.190107863498883	-4.11338616777555	3.8989734319555e-05	0.000309483850816444
g10193.t1	26.5109368395407	1.10967781126518	0.366526888555803	3.02754817153403	0.00246546415214887	0.0100852603142568
g10204.t1	12.7088766499008	1.47630866203939	0.441924640027145	3.34063441664784	0.000835872079788792	0.0040721412054632
g10208.t1	29.4504594662104	1.18263610732312	0.336101519668073	3.51868717669312	0.000433687760270494	0.00234806192554808
g10209.t1	255.996367249019	0.549799454994302	0.226463462731059	2.42776229049905	0.0151922970770923	0.0449424152406295
g10211.t1	121.967876905212	0.939047793858548	0.239591003330034	3.91937836065164	8.87776529633468e-05	0.00062495437889019
g10212.t1	42.9835693164827	1.90352050507197	0.350701063978454	5.42775799844429	5.70663424793339e-08	1.0256409981514e-06
g10216.t1	49.7516539116459	2.19448034527274	0.484835346190166	4.52623836631747	6.00428528783172e-06	6.07281245687763e-05
g10238.t1	37.1066914905543	-2.18946147876963	0.516245185491719	-4.24112716263724	2.22400083376265e-05	0.000188178740585501
g10251.t1	19.7372552563636	-1.4478082747027	0.542204200220048	-2.67022696267407	0.00757999912796919	0.0257330285486994
g10265.t1	86.7007045936729	2.16832926781233	0.532111684858894	4.07495142375483	4.6023953029439e-05	0.000357058152357206
g10267.t1	681.847699465449	-2.09014264079568	0.389785929880665	-5.36228344988128	8.2176454931317e-08	1.41245525516288e-06
g10268.t1	60.1996395656307	0.838378845902783	0.242203453722895	3.46146528059825	0.000537243412323316	0.00280272933070097
g10270.t1	200.616635602458	-1.1735333365505	0.259292466664913	-4.52590602281967	6.01373012562299e-06	6.07936145193226e-05
g10273.t1	18.2542385609829	-3.97339895063434	0.855695948039605	-4.64347056888299	3.42604815964327e-06	3.74250970523252e-05
g10273.t2	78.7983876964966	-3.90798707599576	0.465886177043299	-8.38828724388737	4.93275779846926e-17	5.64125613924381e-15
g10277.t1	76.9060897477156	-0.885689004397373	0.319294774946035	-2.77389131891389	0.00553901791933222	0.0197714447823278
g10278.t1	202.829699741019	-5.67206525872988	0.765584167136085	-7.40880689832977	1.27440707224112e-13	8.02719605410706e-12
g10279.t1	4736.97627395112	-7.36927605008941	0.61179731441888	-12.0452899619038	2.05353040902158e-33	1.82773134796003e-30
g1028.t1	340.920012036287	-1.6632214830145	0.37312013426718	-4.45760314243326	8.28811610854905e-06	8.02203427225095e-05
g10280.t1	379.34419848856	-1.10403385697088	0.26164267866669	-4.21962449932461	2.44709558091499e-05	0.000204885454547692
g10281.t1	3785.72919324579	-1.10112697322458	0.224493362867341	-4.9049422181593	9.34548462355388e-07	1.19761291494147e-05
g10284.t1	946.502837390663	-0.954934438677424	0.249490188198904	-3.8275430611969	0.000129428746230266	0.000859680682699472
g10285.t1	42.9775589731578	-2.45642283800968	0.820158249938457	-2.99505959757645	0.00274391223361398	0.0110181693476484
g1029.t1	11.7900010857026	1.97745519236523	0.387435354587654	5.10396165179563	3.32615703691489e-07	4.79843274860358e-06
g10293.t1	263.881571331122	-0.819921900034355	0.330623049176543	-2.47992964216037	0.0131408309459512	0.0400460463244658
g10298.t1	49.968876841073	-6.04167911933415	0.724019217968819	-8.34463916066154	7.14316485847851e-17	7.94715912053878e-15
g10299.t1	10808.9767617708	-4.71061935667772	0.331639049428663	-14.2040551762316	8.64608973553552e-46	3.53988205952295e-42
g1030.t1	18.8649360695918	1.41085332471698	0.576787927837774	2.44605210446394	0.0144430126119746	0.0431687707956974
g10300.t1	201.407964738495	-1.13970996712449	0.310314150438586	-3.67276183027318	0.000239943097182664	0.00144170095169542
g10304.t1	44.9322126633607	-2.84040151695786	0.833393507926247	-3.40823571331351	0.000653843878705724	0.00329757034761884
g10305.t1	8.03602171870186	-1.78722314587925	0.669766224672964	-2.66842829638345	0.00762070430140238	0.0258369390119258
g10308.t1	40.3914505546582	2.25573395375198	0.303345246762265	7.43619350501914	1.03628006684418e-13	6.71319280011621e-12
g1031.t1	62.4191335610204	-2.9645727083047	0.540618187559781	-5.48367179744001	4.16587327527693e-08	7.77886940533022e-07
g10316.t1	3816.89013960425	-0.923126619292798	0.363315590892502	-2.54083954125143	0.011058665847873	0.0349570643254799
g10317.t1	1350.75566381343	-0.947284677086171	0.37103166501436	-2.55311006150785	0.0106765752726259	0.0339959826420788
g10318.t1	8727.1079696494	-1.56557512608022	0.412303454441886	-3.79714287914336	0.000146373429900354	0.000952148231169413
g10319.t1	233.357144384789	0.645489091066906	0.252056334747204	2.56089215815301	0.0104403758741551	0.0333684519156642
g10320.t1	1270.87507164018	-3.11751841197771	0.465976516985541	-6.69029081582334	2.22727527313641e-11	9.10070900526456e-10
g10321.t1	94.6322645868605	1.12914880676774	0.251174455413144	4.49547628125823	6.94143959888093e-06	6.88460319906451e-05
g10326.t1	5.30556069925649	-2.98052808630476	1.18899206153014	-2.50676870160854	0.0121840411542735	0.0376766626086302
g10338.t1	63.2724033047768	-2.17635732891021	0.40372957059033	-5.39063147078366	7.0210527777181e-08	1.23160215435019e-06
g1034.t1	116.199174721271	-2.95480887573897	0.527167569146689	-5.60506572990033	2.08175947458393e-08	4.16983348377765e-07
g1035.t1	85.604937033498	-2.9236484111259	0.734571222269588	-3.98007480076985	6.88935870793866e-05	0.000506762709702524
g10352.t1	7.137296702686	-3.21921867079609	1.17400886113879	-2.74207357146643	0.00610526652583768	0.0214670063638652
g1036.t1	64.7049102976222	1.91202145644685	0.41659688187839	4.5896201810867	4.44053273415392e-06	4.71484157680835e-05
g1037.t1	496.646067062114	-2.32106872157596	0.703653468048684	-3.29859629344621	0.000971695463756315	0.00461815573306241
g1038.t1	33.9321759024244	-2.57346196463686	0.85259007664148	-3.0184047822539	0.0025410924119699	0.0103437468215223
g10385.t1	8.0223318888022	-1.56234490103741	0.539541658001037	-2.89568910550075	0.00378327006001419	0.0144114851876722
g1039.t1	9.17305587314897	-3.34095617323632	1.08141695484134	-3.08942462782682	0.00200544584421462	0.00850320668535988
g10392.t1	42.92898677848	-2.86135991982575	0.518445966572983	-5.51910923088057	3.40722364209588e-08	6.50039843218498e-07
g10393.t1	33.0766568738954	-3.24121613472924	0.706726913334111	-4.58623560752515	4.51309285800812e-06	4.7703430112446e-05
g10394.t1	71.3789133712599	-2.79619076211398	0.604962089730024	-4.6220925403141	3.79888468439423e-06	4.10813356440751e-05
g10397.t1	96.5510147137947	-0.527347724095079	0.219153957613301	-2.40628884752146	0.0161155171255976	0.0471991192189004
g104.t1	43.4009805254831	1.52499459429404	0.352571962788854	4.32534278174389	1.522948554428e-05	0.000135785191017838
