baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g15192.t1	64.7668616314932	5.44160382147047	1.33523607242013	4.07538706740261	4.59378722245145e-05	0.0124590072026058
g47.t1	18.8863042489252	1.95545174147407	0.469016494526681	4.16926006716984	3.05590130669636e-05	0.00935746553348877
g20804.t1	9.94286523484667	4.21499589169403	1.11709672159614	3.77317004893857	0.000161186344615055	0.0294303476704682
g290.t2	1320.13698811655	-1.16995339516659	0.252581650858689	-4.63198095027552	3.62183485855898e-06	0.00256144091539878
g9649.t1	3249.66308438039	-2.0845978864468	0.497310598059397	-4.1917423328224	2.7682028954612e-05	0.00890751389327643
g8019.t3	2.48742304753389	4.82554199358896	1.10231409367792	4.37764700756782	1.19967441376051e-05	0.00493836228284704
g22928.t1	12.8805792880574	4.15605874401693	0.912303488474496	4.55556598930304	5.2244710386711e-06	0.00309958070841159
g16046.t1	145.511306227727	2.98180431546909	0.824555956118157	3.61625465602944	0.000298896342025849	0.0429889928284905
g23102.t1	337.602738246516	-2.12507748723109	0.47375077394677	-4.4856443600657	7.2693907791677e-06	0.00384847018007704
g11693.t1	107.046424386654	-1.62943066140022	0.413648260511664	-3.93916962054837	8.17641103378482e-05	0.0184727701249691
g14873.t1	239.295717293236	2.39828598306929	0.650124331632005	3.68896512002386	0.000225168082923364	0.036028631816943
g12314.t1	14.2014362561139	3.85405412639766	0.981893310444	3.92512514893793	8.66846592380961e-05	0.0189161868463822
g2188.t1	25.1509825108092	3.45780015640808	0.935585594648316	3.69586724740867	0.000219137461576563	0.0359671844306773
g21577.t1	152.918447708424	-1.2773863574212	0.312984374770845	-4.08131031575125	4.47825171039587e-05	0.0124453815302952
g23422.t1	225.190473841817	4.07703747871642	1.07262807837564	3.80097963209259	0.000144125150132224	0.0280734818873809
g15722.t1	665.950170242478	4.42157108103175	0.874409160280839	5.05663856450412	4.26710859040545e-07	0.000623161973760365
g12819.t1	105.551482279144	2.58873037978567	0.690691283318092	3.74802816006215	0.000178230247734435	0.030760920483984
g20946.t1	21.7133654731047	3.86957010525224	1.04917103224457	3.68821668376965	0.000225831297667433	0.036028631816943
g14541.t1	211.176466715926	1.59787103895084	0.387143688351489	4.12733330550937	3.6699428058309e-05	0.0107190560259538
g13972.t1	59.7699272604505	6.6832900497172	1.26207816590094	5.29546444133776	1.18714294105986e-07	0.000321970124800307
g23708.t1	31.8595090739203	1.62658767367129	0.445151470997209	3.65400943195241	0.00025817677686324	0.0389006834027668
g15371.t1	8048.22431387692	-1.12898353803374	0.244367675968885	-4.62001994968226	3.83703148064241e-06	0.00256144091539878
g2005.t1	1028.94362538264	-2.21821899742672	0.61176759849931	-3.62591775515423	0.00028793699377956	0.0417288841748469
g23749.t1	6.6199014400455	3.04265712942867	0.837647589257639	3.63238331781652	0.000280815565135145	0.0410098731083903
g23664.t1	178.871337673344	-0.797155629003532	0.215141127104764	-3.70526844277131	0.000211166968696806	0.0351667096553409
g15835.t2	16.719747919646	4.6841734260732	1.12860171659719	4.1504220285933	3.31862806727569e-05	0.00984439904019203
g3275.t1	9.00990441462564	2.40004272204137	0.631652315606149	3.79962625441851	0.00014491447063278	0.0280734818873809
g10969.t1	365.593705461426	5.4338642332262	1.06988274478308	5.07893435960399	3.79557810380244e-07	0.000623161973760365
g23101.t1	20.2370348955711	-2.52444192247515	0.509264699272352	-4.95703300480502	7.15778211523287e-07	0.0008493155841106
g1326.t1	1246.74302351306	6.03531843361671	1.09592261525168	5.50706623772946	3.64863004709149e-08	0.00017317310361008
g13916.t2	27.6007007013713	4.20654979220025	0.949684794904807	4.42941680731226	9.44882527940184e-06	0.00440741743571871
