gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
g15192.t1	64.76686163	5.441603821	1.335236072	4.075387067	4.59E-05	0.012459007	4	5	3	0	851	3	0	1	2	0	26	30	0	0
g47.t1	18.88630425	1.955451741	0.469016495	4.169260067	3.06E-05	0.009357466	5	11	15	3	32	49	8	1	4	8	32	47	37	21
g20804.t1	9.942865235	4.214995892	1.117096722	3.773170049	0.000161186	0.029430348	3	3	2	0	88	1	0	0	1	1	23	21	3	0
g290.t2	1320.136988	-1.169953395	0.252581651	-4.63198095	3.62E-06	0.002561441	1753	877	900	2124	531	770	1222	2255	1414	2339	867	1249	1030	1072
g9649.t1	3249.663084	-2.084597886	0.497310598	-4.191742333	2.77E-05	0.008907514	4639	6648	295	258	954	1309	6445	1068	725	2843	730	2001	413	6889
g8019.t3	2.487423048	4.825541994	1.102314094	4.377647008	1.20E-05	0.004938362	0	0	4	0	10	8	0	0	0	0	3	4	12	0
g22928.t1	12.88057929	4.156058744	0.912303488	4.555565989	5.22E-06	0.003099581	1	1	0	1	52	40	0	2	5	2	36	41	16	0
g16046.t1	145.5113062	2.981804315	0.824555956	3.616254656	0.000298896	0.042988993	30	0	67	34	403	378	27	86	58	0	210	619	316	22
g23102.t1	337.6027382	-2.125077487	0.473750774	-4.48564436	7.27E-06	0.00384847	342	51	35	614	90	122	370	1076	501	575	177	126	305	401
g11693.t1	107.0464244	-1.629430661	0.413648261	-3.939169621	8.18E-05	0.01847277	175	180	16	59	44	86	183	104	16	125	32	73	54	129
g14873.t1	239.2957173	2.398285983	0.650124332	3.68896512	0.000225168	0.036028632	25	21	257	85	146	624	30	163	554	53	208	668	1138	21
g12314.t1	14.20143626	3.854054126	0.98189331	3.925125149	8.67E-05	0.018916187	3	3	3	1	153	9	0	0	2	0	5	23	2	0
g2188.t1	25.15098251	3.457800156	0.935585595	3.695867247	0.000219137	0.035967184	6	4	8	2	3	154	0	9	18	1	11	29	193	1
g21577.t1	152.9184477	-1.277386357	0.312984375	-4.081310316	4.48E-05	0.012445382	267	154	41	97	186	97	139	85	86	210	52	105	77	336
g23422.t1	225.1904738	4.077037479	1.072628078	3.800979632	0.000144125	0.028073482	16	13	6	12	2642	16	4	3	23	0	23	458	19	2
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27E-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56
g12819.t1	105.5514823	2.58873038	0.690691283	3.74802816	0.00017823	0.03076092	5	9	15	1	799	196	54	4	8	1	26	205	23	87
g20946.t1	21.71336547	3.869570105	1.049171032	3.688216684	0.000225831	0.036028632	3	2	5	11	154	2	0	11	3	0	71	58	10	0
g14541.t1	211.1764667	1.597871039	0.387143688	4.127333306	3.67E-05	0.010719056	24	20	275	475	155	105	18	337	115	134	1009	161	741	39
g13972.t1	59.76992726	6.68329005	1.262078166	5.295464441	1.19E-07	0.00032197	0	25	109	0	323	170	0	0	0	0	78	143	29	0
g23708.t1	31.85950907	1.626587674	0.445151471	3.654009432	0.000258177	0.038900683	16	22	55	7	103	55	8	12	37	7	35	61	38	10
g15371.t1	8048.224314	-1.128983538	0.244367676	-4.62001995	3.84E-06	0.002561441	7066	4701	6536	12089	2362	2970	4326	17535	12209	24068	8884	4528	9794	3838
g2005.t1	1028.943625	-2.218218997	0.611767598	-3.625917755	0.000287937	0.041728884	4955	257	252	470	113	619	712	336	1327	460	329	254	165	2365
g23749.t1	6.61990144	3.042657129	0.837647589	3.632383318	0.000280816	0.041009873	0	2	1	1	46	6	1	3	2	0	10	16	11	1
g23664.t1	178.8713377	-0.797155629	0.215141127	-3.705268443	0.000211167	0.03516671	208	244	79	200	103	201	164	185	144	222	128	151	200	190
g15835.t2	16.71974792	4.684173426	1.128601717	4.150422029	3.32E-05	0.009844399	0	7	0	0	90	64	0	0	0	0	12	36	32	8
g3275.t1	9.009904415	2.400042722	0.631652316	3.799626254	0.000144914	0.028073482	0	0	27	10	11	6	0	16	5	1	25	6	50	2
g10969.t1	365.5937055	5.433864233	1.069882745	5.07893436	3.80E-07	0.000623162	5	11	5	19	4319	11	2	3	7	5	114	752	3	6
g23101.t1	20.2370349	-2.524441922	0.509264699	-4.957033005	7.16E-07	0.000849316	20	4	5	39	5	6	25	66	26	19	9	5	8	37
g1326.t1	1246.743024	6.035318434	1.095922615	5.507066238	3.65E-08	0.000173173	28	14	32	50	15268	31	1	6	21	2	254	2166	40	10
g13916.t2	27.6007007	4.206549792	0.949684795	4.429416807	9.45E-06	0.004407417	32	38	59	0	49	55	4	0	0	0	11	82	61	12
g20748.t1	79.85432082	3.181291049	0.865569635	3.675372749	0.000237502	0.036958877	5	7	0	3	604	197	3	7	11	0	15	248	29	22
g16019.t1	548.0007122	3.289603491	0.785807757	4.186270064	2.84E-05	0.008972815	45	19	157	162	2439	1001	98	315	121	2	442	2507	1117	18
g9872.t1	335.1397215	-1.074647681	0.298012026	-3.606054747	0.000310888	0.043542565	157	160	419	1088	24	64	80	748	572	742	469	82	807	76
g12334.t1	6.080867805	4.241698733	1.096046742	3.86999803	0.000108836	0.022199512	1	1	4	0	55	15	0	1	0	0	3	7	0	0
g22338.t1	366.7567766	2.696464285	0.705366199	3.822786359	0.000131952	0.026369585	63	96	21	70	3530	269	15	42	53	27	92	852	122	41
g21823.t1	59.24072363	5.142161834	1.128032618	4.558522292	5.15E-06	0.003099581	3	5	4	3	530	12	0	1	0	3	177	120	0	11
g14601.t1	43.31877733	7.010137326	1.546413929	4.533157129	5.81E-06	0.003244679	0	1	1	0	520	1	0	0	2	0	38	62	0	0
g9311.t1	38.10438953	-3.48347851	0.833011438	-4.181789531	2.89E-05	0.009001493	4	20	12	45	0	0	23	33	172	134	39	0	50	34
g4312.t1	641.9727104	-1.517393764	0.424144806	-3.577537064	0.000346847	0.046874259	340	548	312	891	144	331	1195	664	618	975	510	275	630	723
g5221.t1	264.4412778	2.463532247	0.563282939	4.373525412	1.22E-05	0.004938362	79	33	228	226	219	838	26	103	106	224	196	1154	755	16
g275.t1	572.6751604	-0.534838667	0.147239899	-3.632430277	0.000280764	0.041009873	631	532	443	777	570	506	505	652	605	505	454	494	661	575
g2626.t1	527.7816894	3.864470467	0.996698865	3.877269858	0.000105635	0.022038283	8	15	18	11	6440	39	3	3	6	8	111	604	6	215
g5505.t1	539.1948764	-1.59119828	0.400910796	-3.968958424	7.22E-05	0.016511798	1030	842	97	54	251	420	1151	340	235	143	94	305	115	833
g22337.t1	143.3445474	2.791016204	0.684242252	4.078988392	4.52E-05	0.012445382	22	29	15	12	1399	119	11	20	27	8	40	306	32	16
g14316.t1	24.99222572	1.841476657	0.51735872	3.559380726	0.00037173	0.048671034	5	6	15	18	65	79	2	22	11	9	10	66	66	14
g17510.t1	9.595028278	3.872997455	1.000323954	3.871743188	0.00010806	0.022199512	0	0	1	1	35	10	1	2	0	0	4	86	1	1
g20860.t1	114.3876968	2.917638878	0.77326989	3.773118434	0.00016122	0.029430348	15	17	15	8	62	492	25	12	12	6	0	897	103	18
g11097.t1	74.28775795	2.648919193	0.562336772	4.710556599	2.47E-06	0.001954199	15	12	25	23	270	186	6	46	15	18	40	376	80	7
g3465.t1	131.4926602	-6.112731836	1.347925649	-4.534917666	5.76E-06	0.003244679	145	159	0	591	0	0	84	782	0	79	2	30	0	103
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52E-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0
g21166.t2	8.853456424	6.630821951	1.760678258	3.76606113	0.000165843	0.029727435	0	0	0	0	56	0	0	0	0	0	25	27	39	0
g18616.t1	27.09045828	3.10327727	0.868183869	3.574447051	0.000350969	0.046923543	1	2	9	9	242	6	6	1	1	0	9	86	12	6
g5989.t1	28.45799125	1.609807203	0.442759927	3.635846662	0.000277069	0.041009873	14	8	45	36	45	47	3	23	42	10	39	57	88	2
g11068.t1	11.63961301	2.005867088	0.43083353	4.655782218	3.23E-06	0.002450986	3	8	13	7	26	29	0	6	2	4	15	25	36	8
g3867.t2	8.858295441	3.918892615	0.971021242	4.03584643	5.44E-05	0.013617126	0	0	13	0	18	25	0	5	9	2	24	32	9	0
g9442.t2	23.35131973	5.659276907	1.272380875	4.447785266	8.68E-06	0.004233439	10	0	0	0	88	90	0	0	0	0	28	104	32	0
g10994.t1	9.466577484	3.927674686	1.056891445	3.716251754	0.0002022	0.033971409	0	0	1	0	59	9	2	0	3	0	11	49	3	1
g23106.t1	209.4077083	-1.963451361	0.46628502	-4.210839456	2.54E-05	0.008474088	118	54	21	388	49	75	211	769	339	357	149	94	181	229
g23109.t1	320.3531253	-1.830309169	0.396288585	-4.61862703	3.86E-06	0.002561441	203	158	78	459	69	110	401	1021	468	528	306	124	295	285
g12612.t2	42.59603802	3.121869983	0.773879024	4.034054274	5.48E-05	0.013617126	2	2	37	23	30	68	0	27	29	18	25	323	86	7
