gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
g10002.t1	123.6385049	0.728530719	0.284790843	2.558125507	0.01052381	0.033579464	152	97	212	191	80	86	26	217	148	146	192	101	234	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10011.t1	35.81899359	1.041722398	0.326622044	3.189381787	0.001425774	0.006378284	27	22	69	57	33	25	8	37	36	92	48	20	76	9	sp	A2RU49	HYKK_HUMAN	26.276	392	235	8	49	1200	14	359	7.79E-41	152
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	49.67	455	216	6	1714	3057	557	1005	1.57E-130	425
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	61.702	235	89	1	598	1302	223	456	1.18E-77	279
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	56.627	83	35	1	238	486	45	126	9.87E-22	105
g1002.t1	2.543927988	-2.503023987	1.045108071	-2.394990582	0.016620792	0.048350751	1	0	0	0	8	6	3	1	3	0	0	7	3	2	sp	Q9H4F1	SIA7D_HUMAN	41.667	252	133	4	211	954	61	302	1.26E-63	209
g10020.t1	54.358196	0.919282351	0.345738486	2.658895057	0.007839738	0.026461216	38	54	125	63	26	53	6	111	59	75	59	27	131	27	sp	Q9NS86	LANC2_HUMAN	56	375	161	2	97	1209	68	442	7.55E-138	404
g10022.t5	48.11029548	-4.920761104	1.408340597	-3.494013532	0.000475817	0.002529329	0	8	15	0	174	98	5	0	0	0	0	66	13	230	sp	P83038	HDAC4_CHICK	63.805	431	148	2	1690	2967	650	1077	2.80E-178	550
g10023.t1	51.79485447	1.037597592	0.280108324	3.704272609	0.000211998	0.001295854	26	23	83	71	37	45	9	91	42	107	112	50	97	23	sp	Q8BHN5	RBM45_MOUSE	40.842	475	235	12	163	1506	20	475	7.65E-112	342
g10026.t1	99.70165135	-0.847072682	0.265034831	-3.1960806	0.001393082	0.006244313	114	108	99	83	90	117	77	133	49	36	98	127	132	115	sp	Q642F4	SC22A_RAT	44.28	271	139	5	1	801	3	265	6.60E-67	214
g1003.t1	57.35875206	1.344072011	0.563242576	2.3863111	0.017018348	0.049192685	7	10	130	148	116	40	9	90	43	117	102	15	65	14	sp	Q9H4F1	SIA7D_HUMAN	37.549	253	148	5	385	1128	52	299	2.41E-54	185
g10035.t1	314.0211112	2.169352189	0.284864324	7.615387419	2.63E-14	1.91E-12	76	139	676	895	95	90	69	646	431	331	854	150	587	58	sp	A5GFY8	SERA_PIG	51.589	535	251	6	1	1587	1	533	0	531
g10042.t1	939.1807138	-4.568609748	0.604428499	-7.558561116	4.08E-14	2.87E-12	336	1705	72	117	551	661	2551	129	80	6	122	1848	156	1442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10043.t1	2358.463553	-4.510108733	0.599012173	-7.529243872	5.10E-14	3.53E-12	872	4358	221	258	1507	1700	6332	288	214	16	368	4520	403	3563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10044.t1	2113.160293	-3.33141114	0.607130174	-5.487144737	4.08E-08	7.66E-07	349	6054	201	641	1796	1418	5497	889	260	378	237	3255	891	1039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10045.t1	254.9128917	-4.811448028	0.716356734	-6.716553081	1.86E-11	7.66E-10	27	656	11	30	58	127	628	21	13	8	49	985	20	154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10048.t1	199.7678916	-1.672497835	0.411125385	-4.068096736	4.74E-05	0.000366151	207	253	175	72	110	162	303	157	121	38	124	353	132	268	sp	Q3THF9	CQ10B_MOUSE	62.147	177	67	0	142	672	54	230	5.07E-78	238
g10052.t1	97.23683415	-0.888326756	0.356472986	-2.491988988	0.012702998	0.038914399	57	102	94	70	171	118	94	69	62	164	45	105	66	86	sp	Q5C9Z4	NOM1_HUMAN	46.881	529	272	6	985	2571	338	857	6.48E-163	499
g10053.t1	114.3262545	-0.706037436	0.192549829	-3.666777784	0.000245626	0.001470237	102	103	123	120	136	98	85	112	92	97	77	185	129	129	sp	Q1RMT1	ERCC3_BOVIN	61.867	375	107	7	1	1065	1	359	4.71E-148	425
g10053.t1	114.3262545	-0.706037436	0.192549829	-3.666777784	0.000245626	0.001470237	102	103	123	120	136	98	85	112	92	97	77	185	129	129	sp	Q1RMT1	ERCC3_BOVIN	75	68	17	0	1065	1268	360	427	4.71E-148	122
g10054.t1	68.86046581	-0.619119311	0.251812478	-2.458652227	0.013945964	0.04196499	51	79	74	63	71	55	58	69	54	84	37	102	87	68	sp	Q1RMT1	ERCC3_BOVIN	78.779	344	71	2	1	1026	438	781	0	558
g1006.t1	81.05039473	0.826814713	0.294268281	2.809731005	0.004958292	0.018019031	36	46	79	127	54	110	25	117	115	198	94	62	171	28	sp	Q9H8E8	CSR2B_HUMAN	61.765	340	121	3	1333	2352	452	782	2.79E-132	415
g1006.t1	81.05039473	0.826814713	0.294268281	2.809731005	0.004958292	0.018019031	36	46	79	127	54	110	25	117	115	198	94	62	171	28	sp	Q9H8E8	CSR2B_HUMAN	52.683	205	95	2	418	1032	77	279	2.09E-58	216
g10068.t1	77.3811232	-1.357754143	0.495956596	-2.737647113	0.006188044	0.021702149	168	73	59	13	118	67	48	104	92	12	60	127	24	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1007.t1	60.45690618	-0.763995997	0.250067049	-3.055164612	0.00224937	0.009332562	85	56	35	56	44	69	52	79	57	31	52	80	86	56	sp	Q80Z37	TOPRS_MOUSE	37.38	313	138	7	91	906	104	399	3.63E-53	203
g1008.t1	6.950435505	-4.801713701	1.261321367	-3.806891587	0.000140724	0.000920668	1	0	0	0	24	18	1	0	2	0	2	26	0	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10087.t1	40.43848924	-5.137648468	1.265667372	-4.059240666	4.92E-05	0.000378725	0	4	1	3	366	95	0	0	2	0	11	39	2	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1009.t1	393.5963641	-2.706595559	0.422373052	-6.408068764	1.47E-10	5.04E-09	579	265	317	49	921	531	411	84	83	109	74	1020	167	419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10092.t1	85.73692251	-1.022710874	0.395680156	-2.584690836	0.009746635	0.031545196	95	132	65	76	21	61	85	52	56	69	73	93	101	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10093.t1	254.4662935	-1.359335968	0.478632311	-2.840042214	0.004510756	0.016685886	172	111	113	110	108	144	366	279	203	202	151	622	166	490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10094.t1	974.1495526	-1.443041576	0.483667548	-2.983540207	0.002849346	0.011381261	628	332	470	532	352	647	1409	995	714	549	540	2330	757	2105	sp	P79701	VGFR3_COTCO	49.864	367	146	7	64	1050	838	1204	2.28E-105	351
g10095.t1	1337.168369	-1.412696532	0.50382612	-2.803936667	0.005048282	0.01825213	943	344	712	751	495	796	1918	1331	1027	547	818	3009	1220	3085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g101.t1	2.972752514	-3.97624873	1.533379171	-2.593128174	0.009510732	0.03090384	0	10	0	0	10	14	0	1	2	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1010.t1	126.0953155	-2.817394469	0.4182479	-6.73618318	1.63E-11	6.85E-10	220	78	79	11	302	145	131	36	37	41	19	321	40	141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10103.t1	191.1377	2.052983868	0.378308555	5.426744492	5.74E-08	1.03E-06	104	65	410	318	70	85	30	259	219	524	410	98	520	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10104.t1	1095.699836	-4.751569581	0.540307539	-8.794194494	1.44E-18	2.22E-16	690	314	125	35	972	882	2298	101	82	139	80	2992	102	3217	sp	P53396	ACLY_HUMAN	81.579	456	84	0	1	1368	642	1097	0	795
