gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
1	g10002.t1	116.848358999681	0.689969919815252	0.26750451176465	2.57928329979827	0.00990055543218968	0.0363850036988999	152	47	97	212	191	80	86	26	217	148	146	192	101	234	33
2	g10017.t1	411.183989254544	-2.45057983353676	0.283134115059775	-8.65519096142617	4.92087072336557e-18	1.26741712023826e-15	299	274	502	150	142	389	717	689	161	113	161	158	618	235	647
3	g1002.t1	2.87486513646386	-2.68464758239824	1.01238120464144	-2.65181491921223	0.00800604140411185	0.0308588465665348	1	4	0	0	0	8	6	3	1	3	0	0	7	3	2
4	g10020.t1	50.9636970611614	0.892032307235696	0.326824438422135	2.72939291670571	0.00634510526162087	0.0257941285860893	38	18	54	125	63	26	53	6	111	59	75	59	27	131	27
5	g10022.t5	51.6495275763401	-5.01185243060416	1.32469792943029	-3.78339266579786	0.000154705056156461	0.00127896212837028	0	58	8	15	0	174	98	5	0	0	0	0	66	13	230
6	g10023.t1	49.4683405199775	0.944372004602795	0.274990275065434	3.43420146177198	0.000594302315427615	0.00387865176297932	26	23	23	83	71	37	45	9	91	42	107	112	50	97	23
7	g10026.t1	91.1916000204549	-0.733241619871079	0.299887113977966	-2.44505877609984	0.014482853727586	0.0489275904648442	114	18	108	99	83	90	117	77	133	49	36	98	127	132	115
8	g1003.t1	52.9910447542107	1.33423990730834	0.534505388713335	2.49621413643767	0.0125526798991835	0.0437322430948206	7	14	10	130	148	116	40	9	90	43	117	102	15	65	14
9	g10035.t1	296.343466686406	1.93004949550548	0.323237143490879	5.97100158311461	2.35801455201656e-09	9.3951463780623e-08	76	116	139	676	895	95	90	69	646	431	331	854	150	587	58
10	g10042.t1	842.32414389038	-4.39422473742974	0.657258812373634	-6.68568401777736	2.29848493742214e-11	1.47999171491452e-09	336	49	1705	72	117	551	661	2551	129	80	6	122	1848	156	1442
11	g10043.t1	2121.54918271118	-4.33965659533573	0.639575225209203	-6.7852168506312	1.15912273708671e-11	8.1420845509321e-10	872	164	4358	221	258	1507	1700	6332	288	214	16	368	4520	403	3563
