gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.0149,PSC.0174,PSC.0177,PSC.0186,PSC.0187,PSC.0188,PSC.0190,PSC.0202,PSC.0203,PSC.0209,PSC.0219,PSC.0228,PSC.0230,PSC.0231,uniprotID,geneID,transcript_ID,,,,,,,,
g10017.t1,415.5540818,-2.457067763,0.303047873,-8.107853519,5.15E-16,4.86E-14,299,502,150,142,389,717,689,161,113,161,158,618,235,647,Q8IVF7,FMNL3_HUMAN,Phel_contig_13906,,,,,,,,
g10035.t1,314.0211112,2.169352189,0.284864324,7.615387419,2.63E-14,1.91E-12,76,139,676,895,95,90,69,646,431,331,854,150,587,58,A5GFY8,SERA_PIG,Phel_contig_11643,,,,,,,,
g10105.t1,50.44547625,-4.862883251,1.132000276,-4.295832212,1.74E-05,0.00015244,3,6,0,0,73,30,205,11,6,0,0,70,16,59,Q91V92,ACLY_MOUSE,Phel_contig_1060,,,,,,,,
g10106.t1,748.289296,-4.647359152,0.52476816,-8.856023498,8.29E-19,1.30E-16,478,220,82,29,659,642,1419,73,57,97,72,1990,79,2416,Q91V92,ACLY_MOUSE,Phel_contig_1060,,,,,,,,
g10109.t1,1207.8787,2.012723952,0.51872862,3.880109703,0.000104409,0.000713168,835,1084,2379,3306,137,216,168,2373,1947,945,2155,202,4201,134,O88377,PI42B_RAT,Phel_contig_7273,,,,,,,,
g10157.t1,55.74819455,1.578295279,0.420039509,3.75749244,0.000171625,0.001091882,16,54,128,68,32,29,2,97,59,66,120,27,212,15,Q7ZYA5,PRKAA_XENLA,Phel_contig_18341,,,,,,,,
g10168.t1,4.082173681,-2.538075389,1.063625037,-2.386250135,0.017021169,0.049193895,0,2,3,0,7,8,0,1,3,0,2,4,1,21,Q6BD04,GPR54_ORENI,Phel_contig_17925,,,,,,,,
g10192.t1,409.0932967,-0.781987056,0.190107863,-4.113386168,3.90E-05,0.000309484,464,500,413,374,398,458,329,326,282,422,316,606,459,287,F6P3G4,PS11A_DANRE,Phel_contig_2003,,,,,,,,
g10280.t1,379.3441985,-1.104033857,0.261642679,-4.219624499,2.45E-05,0.000204885,504,546,437,258,290,339,349,320,214,229,239,525,384,409,Q8C172,CERS6_MOUSE,Phel_contig_10344,,,,,,,,
g10284.t1,946.5028374,-0.954934439,0.249490188,-3.827543061,0.000129429,0.000859681,915,985,655,643,969,808,1076,971,755,1031,597,1282,889,981,P35978,KINH_STRPU,Phel_contig_2646,,,,,,,,
g10298.t1,49.96887684,-6.041679119,0.724019218,-8.344639161,7.14E-17,7.95E-15,22,72,5,0,50,37,76,0,0,3,1,179,4,126,Q15485,FCN2_HUMAN,Phel_contig_107,,,,,,,,
g10298.t1,49.96887684,-6.041679119,0.724019218,-8.344639161,7.14E-17,7.95E-15,22,72,5,0,50,37,76,0,0,3,1,179,4,126,Q15485,FCN2_HUMAN,Phel_contig_7739,,,,,,,,
g1030.t1,18.86493607,1.410853325,0.576787928,2.446052104,0.014443013,0.043168771,5,10,26,50,21,24,0,34,42,8,38,3,44,4,Q8NBN7,RDH13_HUMAN,Phel_contig_4830,,,,,,,,
g10320.t1,1270.875072,-3.117518412,0.465976517,-6.690290816,2.23E-11,9.10E-10,849,1536,510,180,800,1129,3157,420,350,205,249,2560,315,1686,P00029,CYC_ASTRU,Phel_contig_831,,,,,,,,
g1037.t1,496.6460671,-2.321068722,0.703653468,-3.298596293,0.000971695,0.004618156,154,86,124,113,763,589,230,110,59,207,637,379,145,2550,O89114,DNJB5_MOUSE,Phel_contig_7287,,,,,,,,
g1040.t1,60.73228333,-2.53573318,0.833348484,-3.042824494,0.00234369,0.009669019,9,101,8,5,48,68,167,14,66,0,25,20,37,82,Q06806,TIE1_MOUSE,Phel_contig_14362,,,,,,,,
g10414.t2,732.649618,-1.206985207,0.389337911,-3.100096785,0.001934574,0.008232155,694,483,708,371,315,711,904,470,430,574,526,877,735,1562,Q32NH8,PLCD4_XENLA,Phel_contig_4693,,,,,,,,
g10421.t1,821.3001726,-1.768615704,0.337724113,-5.236865348,1.63E-07,2.59E-06,642,1057,465,488,744,718,1438,656,456,316,345,1307,501,907,Q6DD06,ZC3HF_XENLA,Phel_contig_2327,,,,,,,,
g10466.t1,909.2465054,-3.265469624,0.364544992,-8.957658712,3.32E-19,5.52E-17,337,1695,206,213,1120,1228,1636,220,166,168,169,1686,383,1332,Q9BYK8,HELZ2_HUMAN,Phel_contig_1365,,,,,,,,
g10466.t1,909.2465054,-3.265469624,0.364544992,-8.957658712,3.32E-19,5.52E-17,337,1695,206,213,1120,1228,1636,220,166,168,169,1686,383,1332,Q9BYK8,HELZ2_HUMAN,Phel_contig_3706,,,,,,,,
g10466.t1,909.2465054,-3.265469624,0.364544992,-8.957658712,3.32E-19,5.52E-17,337,1695,206,213,1120,1228,1636,220,166,168,169,1686,383,1332,Q9BYK8,HELZ2_HUMAN,Phel_contig_6428,,,,,,,,
g10469.t1,741.6413913,-1.587090364,0.295691257,-5.367390237,7.99E-08,1.38E-06,446,1385,411,457,806,804,889,424,354,331,417,1358,939,658,Q9BYK8,HELZ2_HUMAN,Phel_contig_1365,,,,,,,,
g10469.t1,741.6413913,-1.587090364,0.295691257,-5.367390237,7.99E-08,1.38E-06,446,1385,411,457,806,804,889,424,354,331,417,1358,939,658,Q9BYK8,HELZ2_HUMAN,Phel_contig_3706,,,,,,,,
g10469.t1,741.6413913,-1.587090364,0.295691257,-5.367390237,7.99E-08,1.38E-06,446,1385,411,457,806,804,889,424,354,331,417,1358,939,658,Q9BYK8,HELZ2_HUMAN,Phel_contig_6428,,,,,,,,
g10479.t1,593.3251926,-1.868219953,0.236488204,-7.899844134,2.79E-15,2.40E-13,525,845,362,292,887,527,719,332,272,265,310,981,363,816,Q99615,DNJC7_HUMAN,Phel_contig_4592,,,,,,,,
g10524.t1,2790.442052,-1.381246177,0.399189167,-3.460129409,0.000539916,0.002812371,1298,1839,1477,1736,2175,2515,5072,1817,1509,2076,2549,4739,2180,3696,Q9BY84,DUS16_HUMAN,Phel_contig_129,,,,,,,,
g10545.t1,263.1105256,3.397553487,0.290190359,11.70801641,1.16E-31,7.99E-29,36,54,341,807,57,26,34,748,383,462,728,38,764,20,Q9HCB6,SPON1_HUMAN,Phel_contig_13213,,,,,,,,
g10562.t1,609.6017496,-1.700179471,0.22024764,-7.719399278,1.17E-14,8.96E-13,474,536,397,296,1321,986,472,318,344,339,342,901,431,926,P35223,CTNB_TRIGR,Phel_contig_7024,,,,,,,,
g10601.t1,31.63381358,1.666620601,0.521509825,3.195760695,0.001394627,0.006249872,9,10,52,111,21,4,9,21,57,105,14,25,44,13,Q9Y6R7,FCGBP_HUMAN,Phel_contig_669,,,,,,,,
g10647.t1,408.3689135,-1.234769701,0.324490068,-3.80526193,0.000141654,0.000925863,302,359,323,303,231,432,333,356,295,243,224,1277,366,527,A2VDP6,NXPE3_BOVIN,Phel_contig_3307,,,,,,,,
g10694.t1,17.70992878,2.8467696,0.470960982,6.04459756,1.50E-09,4.02E-08,7,5,19,38,8,0,2,64,39,28,33,3,55,1,Q91090,PON2_MELGA,Phel_contig_9853,,,,,,,,
g10716.t1,8.475274351,-4.396213696,1.08237146,-4.061649683,4.87E-05,0.00037528,2,0,0,3,56,8,2,0,1,0,1,29,2,13,Q15746,MYLK_HUMAN,Phel_contig_18315,,,,,,,,
g10805.t1,4502.923261,2.898082335,0.397845798,7.284436212,3.23E-13,1.89E-11,1550,1388,7904,8418,367,1501,338,14771,6984,10158,9869,318,10809,838,Q9UM22,EPDR1_HUMAN,Phel_contig_5338,,,,,,,,
g10825.t2,99.7473531,-3.19710556,1.042358533,-3.06718414,0.002160857,0.009044143,17,0,15,15,735,94,16,17,87,0,15,201,12,155,Q75J93,CPAS1_DICDI,Phel_contig_39,,,,,,,,
g10883.t1,266.0273197,4.409194032,0.500960724,8.801476477,1.35E-18,2.09E-16,48,43,432,641,10,10,14,722,687,428,667,8,883,3,Q8R367,RERG_MOUSE,Phel_contig_8892,,,,,,,,
g10905.t1,151.5987933,0.96987124,0.173359065,5.594580485,2.21E-08,4.40E-07,65,105,194,270,74,115,41,256,241,224,244,114,319,102,Q6ZMW2,ZN782_HUMAN,Phel_contig_7186,,,,,,,,
g10926.t1,203.0030346,1.480002735,0.381720519,3.877189359,0.00010567,0.000719618,182,108,309,504,76,88,67,481,465,187,238,85,416,21,Q9JME2,CHSTB_MOUSE,Phel_contig_12736,,,,,,,,
g10933.t1,179.0530108,-1.518622742,0.305341413,-4.973523664,6.57E-07,8.73E-06,197,159,102,87,186,165,272,120,107,151,74,244,162,226,Q80XC3,US6NL_MOUSE,Phel_contig_15800,,,,,,,,
g11007.t1,911.380092,-1.18875534,0.278190845,-4.273164852,1.93E-05,0.000166041,994,1424,803,655,753,718,1094,769,683,535,588,1121,735,911,Q9VZS3,ETIF1_DROME,Phel_contig_264,,,,,,,,
g11076.t1,229.8287273,-1.885955444,0.408608409,-4.615557098,3.92E-06,4.22E-05,428,76,68,72,590,256,226,115,76,159,104,487,301,145,Q9IBG7,KCP_XENLA,Phel_contig_531,,,,,,,,
g11087.t1,49.07140621,2.117994163,0.470526809,4.501325157,6.75E-06,6.72E-05,15,1,48,98,27,24,6,135,138,86,72,8,118,30,P27169,PON1_HUMAN,Phel_contig_6367,,,,,,,,
g11153.t1,324.7881293,0.719279077,0.281412447,2.55596042,0.010589516,0.033755526,167,214,413,341,334,330,53,461,528,277,685,293,877,167,Q29261,VILI_PIG,Phel_contig_1828,,,,,,,,
g11234.t1,318.4619507,-3.040252955,0.527194295,-5.766854807,8.08E-09,1.77E-07,122,126,62,92,275,351,773,122,84,22,95,695,140,612,Q07817,B2CL1_HUMAN,Phel_contig_3774,,,,,,,,
g11249.t1,493.1877316,-1.699459929,0.266772742,-6.370440692,1.88E-10,6.23E-09,460,684,334,277,583,507,677,407,220,198,260,719,311,572,Q9H0E2,TOLIP_HUMAN,Phel_contig_2843,,,,,,,,
g11257.t1,660.7200713,-3.248291194,0.539186496,-6.024429799,1.70E-09,4.49E-08,119,1560,126,220,522,698,1379,333,121,82,57,1327,174,755,P42694,HELZ_HUMAN,Phel_contig_12057,,,,,,,,
g11257.t1,660.7200713,-3.248291194,0.539186496,-6.024429799,1.70E-09,4.49E-08,119,1560,126,220,522,698,1379,333,121,82,57,1327,174,755,P42694,HELZ_HUMAN,Phel_contig_5816,,,,,,,,
g11312.t1,751.3554559,-1.81780356,0.347031111,-5.238157345,1.62E-07,2.58E-06,988,1419,690,247,699,761,745,234,252,560,407,1299,385,844,Q3ZBH0,TCPB_BOVIN,Phel_contig_4057,,,,,,,,
g11365.t1,824.5774439,-1.691744873,0.679117753,-2.491092107,0.01273511,0.038997822,465,1135,338,521,605,739,914,587,769,1,365,1983,934,1381,Q8BV79,TRNK1_MOUSE,Phel_contig_5957,,,,,,,,
g1137.t1,34.24268535,1.380644607,0.36744021,3.757467389,0.000171642,0.001091882,20,25,42,34,23,15,5,51,63,114,40,13,82,14,Q9Y5Q9,TF3C3_HUMAN,Phel_contig_12972,,,,,,,,
g11390.t2,1651.922068,-2.558701016,0.569334945,-4.494192807,6.98E-06,6.92E-05,688,951,531,851,499,1052,4618,601,483,303,579,2225,894,3483,A4IIW7,CDK14_XENTR,Phel_contig_4330,,,,,,,,
g11408.t1,730.5707708,-1.950981862,0.301222861,-6.476871832,9.36E-11,3.34E-09,563,701,268,429,777,828,1106,434,348,213,367,1709,614,867,Q9H3S7,PTN23_HUMAN,Phel_contig_9022,,,,,,,,
g11409.t1,91.15660697,-1.580034339,0.320124682,-4.935684219,7.99E-07,1.04E-05,78,54,45,58,98,116,129,61,46,68,34,207,89,98,Q9H3S7,PTN23_HUMAN,Phel_contig_9022,,,,,,,,
g11420.t1,74.38005233,-4.676389906,0.686697386,-6.809971903,9.76E-12,4.32E-10,44,35,4,0,63,80,184,14,10,1,6,109,16,215,Q13702,RAPSN_HUMAN,Phel_contig_8438,,,,,,,,
