target_id	length	eff_length	est_counts	tpm
g3450.t1	300	104.72	17	15.3745
g3451.t1	324	119.957	3	2.36854
g3452.t1	1137	834.358	0	0
g3453.t1	1509	1206.36	18	1.41312
g3454.t1	1638	1335.36	12	0.851075
g3455.t1	726	438.156	14	3.0261
g3456.t1	555	290.674	1	0.32582
g3457.t1	6606	6303.36	92	1.38229
g3458.t1	2493	2190.36	14	0.605337
g3459.t1	3207	2904.36	14	0.456522
g3460.t1	1509	1206.36	21	1.64865
g3461.t1	1299	996.358	174	16.5393
g3462.t1	1536	1233.36	32	2.45723
g3463.t1	1182	879.358	4	0.430803
g3464.t1	666	384.742	138	33.9698
g3465.t1	7548	7245.36	781.885	10.2204
g3465.t2	7620	7317.36	0.21318	0.00275916
g3465.t3	7542	7239.36	0	0
g3465.t4	7590	7287.36	6.45105	0.0838387
g3465.t5	7590	7287.36	6.45105	0.0838387
g3466.t1	810	515.558	2	0.367398
g3467.t1	1989	1686.36	152	8.53646
g3468.t1	915	614.914	130	20.0223
g3469.t1	2460	2157.36	217	9.52625
g3470.t1	2586	2283.36	179	7.42443
g3471.t1	1263	960.358	76	7.49488
g3472.t1	708	422.021	38	8.52774
g3473.t1	1293	990.358	216	20.656
g3474.t1	321	117.984	3.1627	2.53875
g3474.t2	318	116.079	9.8373	8.02616
g3475.t1	4482	4179.36	773	17.5168
g3476.t1	297	102.866	0	0
g3477.t1	1146	843.358	11	1.23528
g3478.t1	1353	1050.36	26	2.34434
g3479.t1	1326	1023.36	454	42.0158
g3480.t1	843	546.457	39	6.75916
g3481.t1	1995	1692.36	9.89415	0.553695
g3481.t2	1992	1689.36	20.1059	1.12716
g3482.t1	297	102.866	10	9.2069
g3483.t1	207	53.0111	0	0
g3484.t1	273	88.3717	0	0
g3485.t1	315	114.16	1	0.8296
g3486.t1	381	158.127	0	0
g3487.t1	1566	1263.36	3	0.224895
g3488.t1	1080	777.358	17	2.07115
g3489.t1	7296	6993.36	283.703	3.84205
g3489.t2	2292	1989.36	7.29661	0.34737
g3490.t1	1887	1584.36	39	2.33129
g3491.t1	204	51.6196	0	0
g3492.t1	3690	3387.36	322	9.00283
g3493.t1	1209	906.358	3391	354.333
g3494.t1	951	649.641	37	5.39402
g3495.t1	1455	1152.36	66	5.42426
g3496.t1	1623	1320.36	7	0.5021
g3497.t1	393	166.487	0	0
g3498.t1	237	67.9288	0	0
g3499.t1	387	162.299	0	0
g3500.t1	366	147.645	0	0
g3501.t1	336	127.769	0	0
g3502.t1	210	54.4148	0	0
g3503.t1	1365	1062.36	70	6.24038
g3504.t1	504	249.696	48	18.206
g3505.t1	2958	2655.36	2	0.0713331
g3505.t2	3051	2748.36	0	0
g3506.t1	1356	1053.36	1533	137.832
g3507.t1	264	83.0811	795	906.252
g3508.t1	1185	882.358	0	0
g3509.t1	630	353.463	73	19.5597
g3510.t1	594	322.979	322	94.4204
g3511.t1	456	212.508	56	24.9573
g3512.t1	1371	1068.36	136	12.0561
g3513.t1	1548	1245.36	90	6.84435
g3514.t1	897	597.703	481	76.2157
g3515.t1	459	214.797	0	0
g3516.t1	366	147.645	0	0
g3517.t1	2628	2325.36	27	1.09966
g3518.t1	498	244.977	4	1.54639
g3519.t1	1599	1296.36	6	0.438339
g3520.t1	513	256.786	0	0
g3521.t1	1350	1047.36	0	0
g3522.t1	726	438.156	11	2.37765
g3523.t1	1146	843.358	576	64.6837
g3524.t1	792	498.8	2	0.379742
g3525.t1	369	149.692	21	13.2863
g3526.t1	1209	906.358	46	4.80665
g3527.t1	1752	1449.36	12	0.784133
g3528.t1	408	177.307	0	0
g3529.t1	948	646.726	17	2.48951
g3530.t1	1449	1146.36	12	0.991391
g3531.t1	1908	1605.36	87	5.13253
g3532.t1	612	338.212	16	4.48038
g3533.t1	4959	4656.36	188	3.82381
g3534.t1	744	454.547	18	3.75041
g3535.t1	351	137.62	0	0
g3536.t1	216	57.3084	0	0
g3537.t1	1026	723.358	0	0
g3538.t1	1992	1689.36	3	0.168184
g3539.t1	297	102.866	0	0
g3540.t1	1470	1167.36	5	0.405649
g3541.t1	309	110.306	6	5.15153
g3542.t1	1575	1272.36	6	0.446608
g3543.t1	2730	2427.36	10	0.390167
g3544.t1	648	369.033	1	0.256637
g3545.t1	390	164.39	0	0
g3546.t1	510	254.418	3	1.11675
g3547.t1	930	629.361	6	0.902892
g3548.t1	759	468.288	21	4.24708
g3549.t1	687	403.272	63	14.7954
g3550.t1	1122	819.358	111	12.8302
g3551.t1	285	95.5107	168	166.587
g3552.t1	309	110.306	276	236.97
g3553.t1	1743	1440.36	2467	162.212
g3554.t1	351	137.62	3	2.06454
g3555.t1	1956	1653.36	330	18.903
g3556.t1	792	498.8	4	0.759483
g3557.t1	525	266.333	95	33.7818
g3558.t1	969	667.135	174	24.7013
g3559.t1	1683	1380.36	15	1.02916
g3560.t1	501	247.331	1	0.382918
g3561.t1	627	350.872	2	0.539841
g3562.t1	855	557.751	0	0
g3563.t1	690	405.957	0	0
g3564.t1	483	233.2	0	0
g3565.t1	5055	4752.36	41.9805	0.836609
g3565.t2	5091	4788.36	353.02	6.98227
g3566.t1	597	325.516	16	4.65513
g3567.t1	213	55.8519	4	6.78275
g3568.t1	240	69.564	4	5.44577
g3569.t1	948	646.726	152	22.2591
g3570.t1	885	586.26	82	13.2467
g3571.t1	270	86.5801	0	0
g3572.t1	105	28.553	5	16.5845
g3573.t1	123	25.7277	0	0
g3574.t1	240	69.564	0	0
g3575.t1	246	72.8529	4	5.19993
g3576.t1	276	90.0905	0	0
g3577.t1	3402	3099.36	255	7.79207
g3578.t1	1065	762.358	85.2911	10.5957
g3579.t1	2598	2295.36	214	8.82973
g3580.t1	1332	1029.36	117	10.7647
g3581.t1	1830	1527.36	96	5.95271
g3582.t1	1416	1113.36	2	0.170129
g3583.t1	963	661.317	101	14.4643
g3584.t1	1992	1689.36	45.7193	2.56308
g3584.t2	1971	1668.36	210.995	11.9775
g3584.t3	1998	1695.36	106.285	5.93741
g3585.t1	1206	903.358	20	2.09679
g3586.t1	378	155.999	7	4.24973
g3587.t1	549	285.788	146	48.3831
g3588.t1	495	242.588	62	24.2051
g3589.t1	390	164.39	137	78.9279
g3590.t1	765	473.78	24	4.79754
g3591.t1	5232	4929.36	1232	23.6703
g3592.t1	1920	1617.36	707	41.3997
g3593.t1	879	580.543	157	25.6123
g3594.t1	351	137.62	92	63.3127
g3595.t1	225	61.7367	0	0
g3596.t1	366	147.645	0	0
g3596.t2	219	58.6862	0	0
g3597.t1	3624	3321.36	0	0
g3597.t2	3552	3249.36	1748.62	50.9663
g3597.t3	3528	3225.36	509.376	14.957
g3598.t1	2940	2637.36	892.884	32.0635
g3598.t2	2511	2208.36	42.1157	1.80617
g3599.t1	2193	1890.36	122	6.11223
g3600.t1	4317	4014.36	243	5.7329
g3601.t1	372	151.795	82	51.1614
g3602.t1	867	569.175	28	4.65904
g3603.t1	633	356.008	51	13.5673
g3604.t1	519	261.544	18	6.51796
g3605.t1	924	623.604	1762	267.597
g3606.t1	1392	1089.36	11	0.956327
g3607.t1	936	635.16	99	14.7617
g3608.t1	513	256.786	5	1.8441
g3609.t1	936	635.16	0	0
g3610.t1	741	451.81	0	0
g3611.t1	3534	3231.36	24	0.703413
g3612.t1	918	617.795	319	48.9025
g3613.t1	1383	1080.36	703	61.6271
g3614.t1	717	430.059	9	1.98198
g3615.t1	339	129.744	1	0.729958
g3616.t1	3774	3471.36	28	0.763911
g3617.t1	1476	1173.36	9	0.726434
g3618.t1	501	247.331	1	0.382918
g3619.t1	513	256.786	0	0
g3620.t1	825	529.578	3	0.536508
g3621.t1	1317	1014.36	5	0.466834
g3622.t1	996	693.422	94	12.8385
g3623.t1	417	183.89	33	16.9958
g3624.t1	2004	1701.36	68	3.78527
g3625.t1	1578	1275.36	50	3.71298
g3626.t1	1086	783.358	14	1.69259
g3627.t1	561	295.526	51	16.344
g3628.t1	252	76.2312	0	0
g3629.t1	342	131.682	0	0
g3630.t1	552	288.256	1	0.328553
g3631.t1	558	293.136	9	2.90776
g3632.t1	558	293.136	5	1.61542
g3633.t1	201	50.1465	1	1.88862
g3634.t1	456	212.508	54	24.066
g3635.t1	456	212.508	36	16.044
g3636.t1	723	435.431	3	0.652508
g3637.t1	294	101.011	32	30.003
g3638.t1	1317	1014.36	211	19.7004
g3639.t1	4491	4188.36	113	2.55517
g3640.t1	2706	2403.36	38	1.49744
g3641.t1	954	652.559	46	6.67609
g3642.t1	639	361.224	24	6.29245
g3643.t1	2331	2028.36	33	1.54083
g3644.t1	966	664.26	2	0.285152
g3645.t1	1239	936.358	236	23.8701
g3646.t1	960	658.392	153	22.0085
g3647.t1	378	155.999	779	472.935
g3648.t1	924	623.604	6	0.911228
g3649.t1	2232	1929.36	4	0.19635
g3650.t1	1548	1245.36	0	0
g3651.t1	384	160.185	0	0
