gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P
g15192.t1	64.76686163	5.441603821	1.335236072	4.075387067	4.59e-05	0.012459007	4	5	3	0	851	3	0	1	2	0	26	30	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g47.t1	18.88630425	1.955451741	0.469016495	4.169260067	3.06e-05	0.009357466	5	11	15	3	32	49	8	1	4	8	32	47	37	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20804.t1	9.942865235	4.214995892	1.117096722	3.773170049	0.000161186	0.029430348	3	3	2	0	88	1	0	0	1	1	23	21	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g290.t2	1320.136988	-1.169953395	0.252581651	-4.63198095	3.62e-06	0.002561441	1753	877	900	2124	531	770	1222	2255	1414	2339	867	1249	1030	1072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9649.t1	3249.663084	-2.084597886	0.497310598	-4.191742333	2.77e-05	0.008907514	4639	6648	295	258	954	1309	6445	1068	725	2843	730	2001	413	6889	sp	Q0D4Z6	GH38_ORYSJ	27.728	559	366	16	298	1896	42	588	3.54e-47	179	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8019.t3	2.487423048	4.825541994	1.102314094	4.377647008	1.2e-05	0.004938362	0	0	4	0	10	8	0	0	0	0	3	4	12	0	sp	Q80YS5	LRC27_MOUSE	47.541	122	63	1	103	468	58	178	3.01e-26	114	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22928.t1	12.88057929	4.156058744	0.912303488	4.555565989	5.22e-06	0.003099581	1	1	0	1	52	40	0	2	5	2	36	41	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g16046.t1	145.5113062	2.981804315	0.824555956	3.616254656	0.000298896	0.042988993	30	0	67	34	403	378	27	86	58	0	210	619	316	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23102.t1	337.6027382	-2.125077487	0.473750774	-4.48564436	7.27e-06	0.00384847	342	51	35	614	90	122	370	1076	501	575	177	126	305	401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11693.t1	107.0464244	-1.629430661	0.413648261	-3.939169621	8.18e-05	0.01847277	175	180	16	59	44	86	183	104	16	125	32	73	54	129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14873.t1	239.2957173	2.398285983	0.650124332	3.68896512	0.000225168	0.036028632	25	21	257	85	146	624	30	163	554	53	208	668	1138	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12314.t1	14.20143626	3.854054126	0.98189331	3.925125149	8.67e-05	0.018916187	3	3	3	1	153	9	0	0	2	0	5	23	2	0	sp	Q6NZ13	NBL1_DANRE	50.962	104	50	1	127	438	25	127	9.72e-33	117	NA	NA	NA	NA	NA	NA	NA	NA	NA
g2188.t1	25.15098251	3.457800156	0.935585595	3.695867247	0.000219137	0.035967184	6	4	8	2	3	154	0	9	18	1	11	29	193	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21577.t1	152.9184477	-1.277386357	0.312984375	-4.081310316	4.48e-05	0.012445382	267	154	41	97	186	97	139	85	86	210	52	105	77	336	sp	Q9YHT4	HEM0_DANRE	53.819	576	237	9	16	1680	5	572	0	600	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23422.t1	225.1904738	4.077037479	1.072628078	3.800979632	0.000144125	0.028073482	16	13	6	12	2642	16	4	3	23	0	23	458	19	2	sp	Q761V0	SC6A5_MOUSE	49.068	644	286	6	4	1929	167	770	0	618	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	28.444	559	253	24	934	2562	1122	1549	6.17e-27	123	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	26.685	371	173	13	937	2037	1281	1556	2.08e-21	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	48	25	13	0	762	836	1247	1271	2.08e-21	30.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	25.989	531	222	17	1147	2664	1122	1506	5.46e-21	103	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12819.t1	105.5514823	2.58873038	0.690691283	3.74802816	0.00017823	0.03076092	5	9	15	1	799	196	54	4	8	1	26	205	23	87	sp	P79739	CP26A_DANRE	42.457	464	250	6	109	1461	28	487	5.48e-125	377	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20946.t1	21.71336547	3.869570105	1.049171032	3.688216684	0.000225831	0.036028632	3	2	5	11	154	2	0	11	3	0	71	58	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14541.t1	211.1764667	1.597871039	0.387143688	4.127333306	3.67e-05	0.010719056	24	20	275	475	155	105	18	337	115	134	1009	161	741	39	sp	Q99K85	SERC_MOUSE	59.452	365	145	1	10	1095	5	369	4.16e-171	484	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13972.t1	59.76992726	6.68329005	1.262078166	5.295464441	1.19e-07	0.00032197	0	25	109	0	323	170	0	0	0	0	78	143	29	0	sp	P70170	ABCC9_MOUSE	37.157	1604	905	27	43	4731	5	1546	0	951	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23708.t1	31.85950907	1.626587674	0.445151471	3.654009432	0.000258177	0.038900683	16	22	55	7	103	55	8	12	37	7	35	61	38	10	sp	Q5UR46	YR571_MIMIV	36.316	190	111	4	175	738	15	196	4.17e-22	100	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15371.t1	8048.224314	-1.128983538	0.244367676	-4.62001995	3.84e-06	0.002561441	7066	4701	6536	12089	2362	2970	4326	17535	12209	24068	8884	4528	9794	3838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g2005.t1	1028.943625	-2.218218997	0.611767598	-3.625917755	0.000287937	0.041728884	4955	257	252	470	113	619	712	336	1327	460	329	254	165	2365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23749.t1	6.61990144	3.042657129	0.837647589	3.632383318	0.000280816	0.041009873	0	2	1	1	46	6	1	3	2	0	10	16	11	1	sp	P53413	LMX1B_CHICK	57.312	253	81	3	7	684	28	280	3.69e-91	282	NA	NA	NA	NA	NA	NA	NA	NA	NA
