geneID	geneName
1	g3452.t1	CP46A_HUMAN
2	g3453.t1	CP46A_HUMAN
3	g3454.t1	SMOC1_HUMAN
4	g3454.t1	SMOC1_HUMAN
5	g3454.t1	SMOC1_HUMAN
6	g3455.t1	DNJC4_MOUSE
7	g3457.t1	SPTN5_HUMAN
8	g3457.t1	SPTN5_HUMAN
9	g3457.t1	SPTN5_HUMAN
10	g3457.t1	SPTN5_HUMAN
11	g3457.t1	SPTN5_HUMAN
12	g3458.t1	SPTN1_MOUSE
13	g3458.t1	SPTN1_MOUSE
14	g3458.t1	SPTN1_MOUSE
15	g3458.t1	SPTN1_MOUSE
16	g3458.t1	SPTN1_MOUSE
17	g3458.t1	SPTN1_MOUSE
18	g3458.t1	SPTN1_MOUSE
19	g3458.t1	SPTN1_MOUSE
20	g3458.t1	SPTN1_MOUSE
21	g3458.t1	SPTN1_MOUSE
22	g3458.t1	SPTN1_MOUSE
23	g3458.t1	SPTN1_MOUSE
24	g3459.t1	SPTCB_DROME
25	g3459.t1	SPTCB_DROME
26	g3459.t1	SPTCB_DROME
27	g3460.t1	CP46A_MOUSE
28	g3461.t1	CP46A_HUMAN
29	g3462.t1	BBS1_HUMAN
30	g3465.t1	TNKS1_CAEEL
31	g3465.t1	TNKS1_CAEEL
32	g3465.t2	TNKS1_CAEEL
33	g3465.t2	TNKS1_CAEEL
34	g3465.t3	TNKS1_CAEEL
35	g3465.t3	TNKS1_CAEEL
36	g3465.t4	TNKS1_CAEEL
37	g3465.t4	TNKS1_CAEEL
38	g3465.t5	TNKS1_CAEEL
39	g3465.t5	TNKS1_CAEEL
40	g3466.t1	ISAHY_ROSAI
41	g3468.t1	CAD96_DROME
42	g3469.t1	MRCKA_HUMAN
43	g3470.t1	MRCKA_MOUSE
44	g3471.t1	NOP53_HUMAN
45	g3472.t1	TTC9C_RAT
46	g3473.t1	SPRE2_MOUSE
47	g3475.t1	ARI4A_HUMAN
48	g3477.t1	RBM34_MOUSE
49	g3479.t1	APMAP_HUMAN
50	g3480.t1	SIAH1_RAT
51	g3481.t1	ANXA8_RABIT
52	g3481.t2	ANXA8_RABIT
53	g3489.t1	TNKS1_CAEEL
54	g3489.t1	TNKS1_CAEEL
55	g3489.t2	TNKS1_CAEEL
56	g3492.t1	PYC_HUMAN
57	g3493.t1	KARG_STIJA
58	g3494.t1	RPC6_HUMAN
59	g3495.t1	KAT5_PONAB
60	g3503.t1	COQ6_DANRE
61	g3504.t1	COMD1_CANLF
62	g3505.t1	KCNAE_DROME
63	g3505.t2	KCNAE_DROME
64	g3506.t1	HHAT_MOUSE
65	g3511.t1	NEMF_MOUSE
66	g3512.t1	NEMF_MOUSE
67	g3513.t1	NEMF_HUMAN
68	g3514.t1	RHOU_MOUSE
69	g3517.t1	RPAP1_RAT
70	g3519.t1	RPAP1_HUMAN
71	g3522.t1	ALKB6_DANRE
72	g3523.t1	PPM1B_BOVIN
73	g3526.t1	NO66_BRAFL
74	g3531.t1	COQ8B_DANRE
75	g3532.t1	POP7_HUMAN
76	g3533.t1	E2AK4_MOUSE
77	g3534.t1	ZNRD2_HUMAN
78	g3537.t1	KCNK2_HUMAN
79	g3538.t1	T151B_HUMAN
80	g3540.t1	DRC5_HUMAN
81	g3543.t1	TARB1_HUMAN
82	g3544.t1	TARB1_HUMAN
83	g3548.t1	ZDH22_RAT
84	g3550.t1	UBAC2_CHICK
85	g3555.t1	SYVN1_DANRE
86	g3556.t1	SPDYA_RAT
87	g3557.t1	GABT_HUMAN
88	g3558.t1	GABT_HUMAN
89	g3559.t1	TR61B_HUMAN
90	g3560.t1	LECG_PATPE
91	g3565.t1	GRDN_HUMAN
92	g3565.t2	GRDN_HUMAN
93	g3569.t1	GLUCM_MOUSE
94	g3570.t1	Y2760_CLOB8
95	g3577.t1	PLXA4_DANRE
96	g3578.t1	PLXA4_DANRE
97	g3579.t1	DCAF5_MOUSE
98	g3580.t1	NDUF7_MOUSE
99	g3581.t1	BTBD9_HUMAN
100	g3583.t1	ASGL1_HUMAN
101	g3584.t1	KLC_STRPU
102	g3584.t2	KLC_STRPU
103	g3584.t3	KLC_STRPU
104	g3591.t1	HECD1_MOUSE
105	g3591.t1	HECD1_MOUSE
106	g3592.t1	HECD1_HUMAN
107	g3593.t1	ENOPH_BRAFL
108	g3597.t1	KTN1_HUMAN
109	g3597.t2	KTN1_HUMAN
110	g3598.t1	ADAP1_HUMAN
111	g3598.t2	ADAP1_HUMAN
112	g3600.t1	ASATR_DROME
113	g3601.t1	TR112_BOVIN
114	g3607.t1	LCLT1_MOUSE
115	g3609.t1	TSSK1_BOVIN
116	g3611.t1	WDR64_HUMAN
117	g3613.t1	PSN1_CHICK
118	g3616.t1	CUBN_MOUSE
119	g3616.t1	CUBN_MOUSE
120	g3616.t1	CUBN_MOUSE
121	g3616.t1	CUBN_MOUSE
122	g3616.t1	CUBN_MOUSE
123	g3616.t1	CUBN_MOUSE
124	g3617.t1	CUBN_PIG
125	g3622.t1	KCNK1_BOVIN
126	g3624.t1	TPC1_RAT
127	g3624.t1	TPC1_RAT
128	g3625.t1	ASB3_HUMAN
129	g3626.t1	VASH2_HUMAN
130	g3627.t1	RM48_HUMAN
131	g3631.t1	MOCS3_DANRE
132	g3632.t1	MOCS3_DANRE
133	g3637.t1	HNRPL_HUMAN
134	g3638.t1	HNRPL_MOUSE
135	g3639.t1	TRIPB_HUMAN
136	g3640.t1	TRIPB_HUMAN
137	g3641.t1	MBIP1_HUMAN
138	g3645.t1	SIR2_MACFA
139	g3646.t1	RDH11_MOUSE
140	g3648.t1	RDH13_HUMAN
141	g3650.t1	ANR63_HUMAN
142	g3658.t1	ZFY26_MOUSE
143	g3658.t1	ZFY26_MOUSE
144	g3660.t1	ZFY26_AILME
145	g3660.t2	ZFY26_AILME
146	g3661.t1	BAZ1A_XENLA
147	g3663.t1	BAZ1A_HUMAN
148	g3663.t1	BAZ1A_HUMAN
