gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1	g15192.t1	64.7668616314932	5.44160382147047	1.33523607242013	4.07538706740261	4.59378722245145e-05	0.0124590072026058	4	5	3	0	851	3	0	1	2	0	26	30	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	g47.t1	18.8863042489252	1.95545174147407	0.469016494526681	4.16926006716984	3.05590130669636e-05	0.00935746553348877	5	11	15	3	32	49	8	1	4	8	32	47	37	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	g20804.t1	9.94286523484667	4.21499589169403	1.11709672159614	3.77317004893857	0.000161186344615055	0.0294303476704682	3	3	2	0	88	1	0	0	1	1	23	21	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	g290.t2	1320.13698811655	-1.16995339516659	0.252581650858689	-4.63198095027552	3.62183485855898e-06	0.00256144091539878	1753	877	900	2124	531	770	1222	2255	1414	2339	867	1249	1030	1072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	g9649.t1	3249.66308438039	-2.0845978864468	0.497310598059397	-4.1917423328224	2.7682028954612e-05	0.00890751389327643	4639	6648	295	258	954	1309	6445	1068	725	2843	730	2001	413	6889	sp	Q0D4Z6	GH38_ORYSJ	27.728	559	366	16	298	1896	42	588	3.54e-47	179
6	g8019.t3	2.48742304753389	4.82554199358896	1.10231409367792	4.37764700756782	1.19967441376051e-05	0.00493836228284704	0	0	4	0	10	8	0	0	0	0	3	4	12	0	sp	Q80YS5	LRC27_MOUSE	47.541	122	63	1	103	468	58	178	3.01e-26	114
7	g22928.t1	12.8805792880574	4.15605874401693	0.912303488474496	4.55556598930304	5.2244710386711e-06	0.00309958070841159	1	1	0	1	52	40	0	2	5	2	36	41	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	g16046.t1	145.511306227727	2.98180431546909	0.824555956118157	3.61625465602944	0.000298896342025849	0.0429889928284905	30	0	67	34	403	378	27	86	58	0	210	619	316	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	g23102.t1	337.602738246516	-2.12507748723109	0.47375077394677	-4.4856443600657	7.2693907791677e-06	0.00384847018007704	342	51	35	614	90	122	370	1076	501	575	177	126	305	401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	g11693.t1	107.046424386654	-1.62943066140022	0.413648260511664	-3.93916962054837	8.17641103378482e-05	0.0184727701249691	175	180	16	59	44	86	183	104	16	125	32	73	54	129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	g14873.t1	239.295717293236	2.39828598306929	0.650124331632005	3.68896512002386	0.000225168082923364	0.036028631816943	25	21	257	85	146	624	30	163	554	53	208	668	1138	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	g12314.t1	14.2014362561139	3.85405412639766	0.981893310444	3.92512514893793	8.66846592380961e-05	0.0189161868463822	3	3	3	1	153	9	0	0	2	0	5	23	2	0	sp	Q6NZ13	NBL1_DANRE	50.962	104	50	1	127	438	25	127	9.72e-33	117
