gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1	g22928.t1	11.4102902660191	4.37023651989371	0.946621469088005	4.61666744586311	3.89951400738094e-06	0.00433313996500171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	g1803.t1	299.630175212708	-2.79592383633565	0.738841911697042	-3.78419766403574	0.000154205234449209	0.0372506209826002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	g23102.t1	306.798308562662	-2.00023612555033	0.492926071084868	-4.05788259717744	4.95196495684489e-05	0.0171956983126439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	g12314.t1	12.5877584674436	4.07216462482667	1.01328591334476	4.0187715739429	5.85023528156799e-05	0.0187522541679183	sp	Q6NZ13	NBL1_DANRE	50.962	104	50	1	127	438	25	127	9.72e-33	117
5	g2188.t1	22.5498827577904	3.43714489916859	0.907371284464708	3.7880247678284	0.000151849714892464	0.037221044820994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	g15722.t1	608.064774237903	3.82520975277628	0.857069957710302	4.46312429733914	8.07731648986913e-06	0.00657304844471559	sp	P0DSP1	SORL_RAT	28.444	559	253	24	934	2562	1122	1549	6.17e-27	123
7	g15722.t1	608.064774237903	3.82520975277628	0.857069957710302	4.46312429733914	8.07731648986913e-06	0.00657304844471559	sp	P0DSP1	SORL_RAT	26.685	371	173	13	937	2037	1281	1556	2.08e-21	95.1
8	g15722.t1	608.064774237903	3.82520975277628	0.857069957710302	4.46312429733914	8.07731648986913e-06	0.00657304844471559	sp	P0DSP1	SORL_RAT	48	25	13	0	762	836	1247	1271	2.08e-21	30.8
9	g15722.t1	608.064774237903	3.82520975277628	0.857069957710302	4.46312429733914	8.07731648986913e-06	0.00657304844471559	sp	P0DSP1	SORL_RAT	25.989	531	222	17	1147	2664	1122	1506	5.46e-21	103
10	g12819.t1	98.1997883682343	2.55909188419946	0.658698366194138	3.88507398156385	0.000102298731856181	0.0275018590738521	sp	P79739	CP26A_DANRE	42.457	464	250	6	109	1461	28	487	5.48e-125	377
11	g13972.t1	61.4689299583049	6.19117171986015	1.49216542092224	4.14911887988508	3.33757460611455e-05	0.0150353225769506	sp	P70170	ABCC9_MOUSE	37.157	1604	905	27	43	4731	5	1546	0	951
12	g15371.t1	7310.89750855364	-1.03368193001772	0.280665933159693	-3.68296186993801	0.000230539653760144	0.048640948719925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	g7316.t2	34.7386217110293	-3.16114814724558	0.845400431487978	-3.7392317646227	0.000184583489943299	0.0404820738207224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	g10969.t1	324.926385244248	5.62608383670411	1.029953643784	5.46246316099642	4.69573000283683e-08	0.000195671069218211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	g23101.t1	19.0237772706954	-2.46308227071236	0.504996726438561	-4.87742225198766	1.07481190838353e-06	0.00179149648889366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	g1326.t1	1123.00484865241	4.82467293169138	1.07530038401197	4.48681410648289	7.22961011708519e-06	0.00634227060166189	sp	Q94637	VIT6_OSCTI	21.079	1001	655	32	358	3231	110	1018	1.7e-31	139
17	g13916.t2	26.0150886112293	4.14066086780951	0.909093292710401	4.55471501221223	5.24566459607198e-06	0.00521935164892373	sp	Q9UL03	INT6_HUMAN	51.856	943	380	14	1	2778	1	886	0	884
18	g16019.t1	489.249270506565	3.45301722705217	0.758633926518877	4.55162510711448	5.32331281687685e-06	0.00521935164892373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	g9872.t1	314.67159303933	-1.18552093326239	0.314266883704864	-3.77233808184429	0.00016172491628466	0.0383603150861327	sp	Q07537	GALT1_BOVIN	38.462	507	296	8	232	1740	54	548	2.25e-121	373
20	g22338.t1	334.720127334953	2.66838958650388	0.672789298188011	3.96615938108784	7.30400309284984e-05	0.0229704006701172	sp	P0C6B8	SVEP1_RAT	28.997	1007	591	24	1534	4269	437	1414	5.93e-111	393
21	g22338.t1	334.720127334953	2.66838958650388	0.672789298188011	3.96615938108784	7.30400309284984e-05	0.0229704006701172	sp	P0C6B8	SVEP1_RAT	37.846	325	181	5	3235	4161	1097	1416	4.65e-56	219
22	g9311.t1	33.8146581279841	-3.54818393266766	0.946862466741593	-3.74730655960829	0.000178743583675681	0.0404820738207224	sp	Q866N2	MYOC_RABIT	37.069	232	137	4	2305	2985	260	487	1.34e-32	136
23	g7738.t1	99.7991325203912	1.26277081484706	0.337441458485947	3.74219226206803	0.000182421859443639	0.0404820738207224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	g5221.t1	236.982266629405	2.59464210222846	0.545505087895143	4.75640312034486	1.97072747446799e-06	0.00273734046203603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	g2626.t1	480.475534211228	3.70964598709634	0.957225303970802	3.87541571634999	0.000106442819119701	0.0281617287156693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	g22337.t1	134.498675289662	2.46853024910182	0.665992365381804	3.70654436509441	0.000210106444871898	0.0448981310657025	sp	P16581	LYAM2_HUMAN	30.462	325	197	9	925	1875	239	542	5.43e-27	120
27	g22337.t1	134.498675289662	2.46853024910182	0.665992365381804	3.70654436509441	0.000210106444871898	0.0448981310657025	sp	P16581	LYAM2_HUMAN	29.48	346	210	14	922	1923	176	499	7.17e-23	107
28	g11097.t1	67.5196362155107	2.64354360458669	0.537816293287942	4.91532822188293	8.86338377263253e-07	0.00164149867469154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	g3465.t1	116.751304698622	-5.66551513989316	1.37714951915476	-4.113943374406	3.88956885711263e-05	0.0162078334275883	sp	Q9TXQ1	TNKS1_CAEEL	32.081	692	406	24	1072	3021	102	771	2.1e-63	245
30	g3465.t1	116.751304698622	-5.66551513989316	1.37714951915476	-4.113943374406	3.88956885711263e-05	0.0162078334275883	sp	Q9TXQ1	TNKS1_CAEEL	33.705	448	263	11	5851	7170	1786	2207	2.31e-57	225
31	g9604.t1	28.3409326535328	2.9382554102436	0.779426848305819	3.76976417559937	0.000163401870117316	0.0383603150861327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	32.7	2052	1091	71	76	5547	80	2069	0	865
33	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	33.183	663	320	25	4675	6390	349	979	4.41e-67	256
34	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	28.52	831	449	29	4102	6396	90	841	4.19e-66	253
35	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	38.601	386	209	10	5488	6600	1774	2146	3.06e-48	195
36	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	31.746	504	244	18	4693	6018	554	1019	2.04e-47	192
37	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	33.493	418	221	11	4678	5787	611	1019	7.87e-46	187
38	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	35.294	340	191	8	1315	2310	1760	2078	1.95e-41	172
39	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	35.135	333	193	9	697	1656	1751	2073	5.29e-39	164
40	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	36.306	314	172	13	1111	1998	1768	2071	2.77e-33	145
41	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	33.138	341	200	10	1165	2133	1748	2078	4.04e-33	145
42	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	36.877	301	158	11	1855	2679	1786	2080	2.59e-29	132
43	g24131.t3	39.1018747342977	6.41384630363615	1.35830443649038	4.72195049307828	2.33593549914313e-06	0.00299502868459367	sp	P10040	CRB_DROME	30.522	249	118	5	5677	6405	270	469	8.4e-22	108
44	g3867.t2	7.84845048596819	4.1614084767799	1.02395447966335	4.06405612693651	4.82272208113936e-05	0.0171956983126439	sp	Q9PVK4	LDHBA_DANRE	64.407	236	84	0	19	726	6	241	2.16e-107	316
45	g20269.t1	183.270217532543	-5.69425271465124	1.31373947658965	-4.33438502543366	1.46168156428213e-05	0.00870118154051947	sp	Q9V4A7	PLXB_DROME	30.403	694	397	24	46	1965	496	1157	1.28e-78	290
46	g5857.t1	61.7447967989842	3.42860614642465	0.924514874167621	3.70854622486367	0.000208452610207468	0.0448981310657025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	g22733.t1	14.4282114969512	7.1664194747011	1.85675150965214	3.85965458352784	0.000113547410760436	0.0292739416853613	sp	Q8BND3	WDR35_MOUSE	66.833	1206	346	8	1	3534	1	1180	0	1681
48	g12612.t2	37.7680136435723	3.51789250476255	0.82019381203634	4.28909905578108	1.79399354508062e-05	0.00996742813646791	sp	E1C3U7	LOXL2_CHICK	35.209	764	407	16	97	2331	53	747	9.09e-149	457
49	g23715.t1	63.401150744228	4.09979943696716	1.05348372809699	3.89165900490274	9.95611080413893e-05	0.0272559710936805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	g6700.t1	5334.04604740771	-1.39918805064141	0.356412521700076	-3.9257544711598	8.64583123524175e-05	0.026060866340589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	g8208.t1	106.045297898062	3.04202370712677	0.775489788536162	3.92271278370923	8.75575063038747e-05	0.026060866340589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	g12253.t1	60.9225825119723	2.83048528458021	0.687752947457553	4.11555529502823	3.86248382663506e-05	0.0162078334275883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	g6273.t1	34.8954325163683	-4.58941463516833	1.19357389980994	-3.84510304380745	0.0001205017901256	0.0304321793608106	sp	Q9QXP4	DONS_MOUSE	32.639	576	294	15	28	1716	9	503	1.84e-78	262
54	g15129.t1	73.7408641369687	3.50699486510707	0.908938518635923	3.85834112341299	0.000114159239833722	0.0292739416853613	sp	P35760	VA5_VESMC	38.983	177	84	5	55	531	31	201	5.91e-31	115
55	g15820.t1	48.8681750215437	3.40107178851451	0.66228404533866	5.13536723774672	2.81593608615629e-07	0.00093872045368106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	g11259.t2	13.7636513986199	4.83573230943668	1.22088720414025	3.96083462340978	7.46882482030685e-05	0.0230537726120138	sp	P35992	PTP10_DROME	38.086	491	274	6	2146	3609	1076	1539	5.61e-93	335
57	g1664.t1	366.571159774611	1.02075877990008	0.234175879825004	4.35894072721272	1.30693501427641e-05	0.00870118154051947	sp	Q7ZWX9	MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.9e-59	203
58	g2879.t2	16.7387783374131	-22.3153911067944	3.07092857976719	-7.2666590990814	3.68487162502546e-13	3.07097201229622e-09	sp	F1Q4S1	ATP9B_DANRE	64.299	1112	356	8	94	3366	32	1123	0	1474
59	g782.t1	226.607852793428	5.91982229431321	1.17382584192651	5.04318620605376	4.57843313776201e-07	0.00123939386173124	sp	P17945	HGF_RAT	34.074	405	185	19	109	1290	134	467	1.19e-45	172
60	g782.t1	226.607852793428	5.91982229431321	1.17382584192651	5.04318620605376	4.57843313776201e-07	0.00123939386173124	sp	P17945	HGF_RAT	31.579	304	145	14	415	1299	134	383	4.85e-24	108
61	g11353.t1	1500.27963165529	-1.48455098366098	0.351155903404184	-4.22761220662791	2.36184400048233e-05	0.0123022549375124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	g8842.t1	298.4563882615	2.38161343224032	0.580951188089115	4.09950694837893	4.14031240589929e-05	0.0163414682235811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
