gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1	g10002.t1	116.848358999681	0.689969919815252	0.26750451176465	2.57928329979827	0.00990055543218968	0.0363850036988999	152	47	97	212	191	80	86	26	217	148	146	192	101	234	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	g10017.t1	411.183989254544	-2.45057983353676	0.283134115059775	-8.65519096142617	4.92087072336557e-18	1.26741712023826e-15	299	274	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425
3	g10017.t1	411.183989254544	-2.45057983353676	0.283134115059775	-8.65519096142617	4.92087072336557e-18	1.26741712023826e-15	299	274	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	61.702	235	89	1	598	1302	223	456	1.18e-77	279
4	g10017.t1	411.183989254544	-2.45057983353676	0.283134115059775	-8.65519096142617	4.92087072336557e-18	1.26741712023826e-15	299	274	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	56.627	83	35	1	238	486	45	126	9.87e-22	105
5	g1002.t1	2.87486513646386	-2.68464758239824	1.01238120464144	-2.65181491921223	0.00800604140411185	0.0308588465665348	1	4	0	0	0	8	6	3	1	3	0	0	7	3	2	sp	Q9H4F1	SIA7D_HUMAN	41.667	252	133	4	211	954	61	302	1.26e-63	209
6	g10020.t1	50.9636970611614	0.892032307235696	0.326824438422135	2.72939291670571	0.00634510526162087	0.0257941285860893	38	18	54	125	63	26	53	6	111	59	75	59	27	131	27	sp	Q9NS86	LANC2_HUMAN	56	375	161	2	97	1209	68	442	7.55e-138	404
7	g10022.t5	51.6495275763401	-5.01185243060416	1.32469792943029	-3.78339266579786	0.000154705056156461	0.00127896212837028	0	58	8	15	0	174	98	5	0	0	0	0	66	13	230	sp	P83038	HDAC4_CHICK	63.805	431	148	2	1690	2967	650	1077	2.8e-178	550
8	g10023.t1	49.4683405199775	0.944372004602795	0.274990275065434	3.43420146177198	0.000594302315427615	0.00387865176297932	26	23	23	83	71	37	45	9	91	42	107	112	50	97	23	sp	Q8BHN5	RBM45_MOUSE	40.842	475	235	12	163	1506	20	475	7.65e-112	342
9	g10026.t1	91.1916000204549	-0.733241619871079	0.299887113977966	-2.44505877609984	0.014482853727586	0.0489275904648442	114	18	108	99	83	90	117	77	133	49	36	98	127	132	115	sp	Q642F4	SC22A_RAT	44.28	271	139	5	1	801	3	265	6.6e-67	214
10	g1003.t1	52.9910447542107	1.33423990730834	0.534505388713335	2.49621413643767	0.0125526798991835	0.0437322430948206	7	14	10	130	148	116	40	9	90	43	117	102	15	65	14	sp	Q9H4F1	SIA7D_HUMAN	37.549	253	148	5	385	1128	52	299	2.41e-54	185
11	g10035.t1	296.343466686406	1.93004949550548	0.323237143490879	5.97100158311461	2.35801455201656e-09	9.3951463780623e-08	76	116	139	676	895	95	90	69	646	431	331	854	150	587	58	sp	A5GFY8	SERA_PIG	51.589	535	251	6	1	1587	1	533	0	531
12	g10042.t1	842.32414389038	-4.39422473742974	0.657258812373634	-6.68568401777736	2.29848493742214e-11	1.47999171491452e-09	336	49	1705	72	117	551	661	2551	129	80	6	122	1848	156	1442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	g10043.t1	2121.54918271118	-4.33965659533573	0.639575225209203	-6.7852168506312	1.15912273708671e-11	8.1420845509321e-10	872	164	4358	221	258	1507	1700	6332	288	214	16	368	4520	403	3563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	g10044.t1	1908.8199445691	-3.17016602819355	0.631526823848074	-5.01984382686521	5.17135056492096e-07	1.04270428212549e-05	349	195	6054	201	641	1796	1418	5497	889	260	378	237	3255	891	1039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	g10045.t1	227.609527814497	-4.63000649494295	0.775222000391651	-5.97249109623284	2.33657902222092e-09	9.37220037835242e-08	27	6	656	11	30	58	127	628	21	13	8	49	985	20	154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	g10048.t1	180.08943205581	-1.51396302360705	0.469962784064408	-3.22145300637159	0.00127542376759567	0.00716721901608631	207	18	253	175	72	110	162	303	157	121	38	124	353	132	268	sp	Q3THF9	CQ10B_MOUSE	62.147	177	67	0	142	672	54	230	5.07e-78	238
17	g10052.t1	92.1261678512924	-0.843853601024148	0.339645304712934	-2.48451425447311	0.0129728314308987	0.0448206975419185	57	38	102	94	70	171	118	94	69	62	164	45	105	66	86	sp	Q5C9Z4	NOM1_HUMAN	46.881	529	272	6	985	2571	338	857	6.48e-163	499
18	g10053.t1	123.702911508575	-0.944857046527452	0.267166330582304	-3.53658728054573	0.000405332543896453	0.00283065512821167	102	144	103	123	120	136	98	85	112	92	97	77	185	129	129	sp	Q1RMT1	ERCC3_BOVIN	61.867	375	107	7	1	1065	1	359	4.71e-148	425
19	g10053.t1	123.702911508575	-0.944857046527452	0.267166330582304	-3.53658728054573	0.000405332543896453	0.00283065512821167	102	144	103	123	120	136	98	85	112	92	97	77	185	129	129	sp	Q1RMT1	ERCC3_BOVIN	75	68	17	0	1065	1268	360	427	4.71e-148	122
