gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2.x	uniprotID	geneID	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P	V2.y	V3	V4	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
g15192.t1	64.76686163	5.441603821	1.335236072	4.075387067	4.59e-05	0.012459007	4	5	3	0	851	3	0	1	2	0	26	30	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g47.t1	18.88630425	1.955451741	0.469016495	4.169260067	3.06e-05	0.009357466	5	11	15	3	32	49	8	1	4	8	32	47	37	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20804.t1	9.942865235	4.214995892	1.117096722	3.773170049	0.000161186	0.029430348	3	3	2	0	88	1	0	0	1	1	23	21	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g290.t2	1320.136988	-1.169953395	0.252581651	-4.63198095	3.62e-06	0.002561441	1753	877	900	2124	531	770	1222	2255	1414	2339	867	1249	1030	1072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9649.t1	3249.663084	-2.084597886	0.497310598	-4.191742333	2.77e-05	0.008907514	4639	6648	295	258	954	1309	6445	1068	725	2843	730	2001	413	6889	sp	Q0D4Z6	GH38_ORYSJ	27.728	559	366	16	298	1896	42	588	3.54e-47	179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8019.t3	2.487423048	4.825541994	1.102314094	4.377647008	1.2e-05	0.004938362	0	0	4	0	10	8	0	0	0	0	3	4	12	0	sp	Q80YS5	LRC27_MOUSE	47.541	122	63	1	103	468	58	178	3.01e-26	114	NA	NA	NA	NA	NA	NA	NA	NA	NA	LRC27_MOUSE	reviewed	Leucine-rich repeat-containing protein 27	Lrrc27	Mus musculus (Mouse)	523	signal transduction [GO:0007165]	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]; signal transduction [GO:0007165]	GO:0005886; GO:0007165
g22928.t1	12.88057929	4.156058744	0.912303488	4.555565989	5.22e-06	0.003099581	1	1	0	1	52	40	0	2	5	2	36	41	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g16046.t1	145.5113062	2.981804315	0.824555956	3.616254656	0.000298896	0.042988993	30	0	67	34	403	378	27	86	58	0	210	619	316	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23102.t1	337.6027382	-2.125077487	0.473750774	-4.48564436	7.27e-06	0.00384847	342	51	35	614	90	122	370	1076	501	575	177	126	305	401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11693.t1	107.0464244	-1.629430661	0.413648261	-3.939169621	8.18e-05	0.01847277	175	180	16	59	44	86	183	104	16	125	32	73	54	129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14873.t1	239.2957173	2.398285983	0.650124332	3.68896512	0.000225168	0.036028632	25	21	257	85	146	624	30	163	554	53	208	668	1138	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12314.t1	14.20143626	3.854054126	0.98189331	3.925125149	8.67e-05	0.018916187	3	3	3	1	153	9	0	0	2	0	5	23	2	0	sp	Q6NZ13	NBL1_DANRE	50.962	104	50	1	127	438	25	127	9.72e-33	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NBL1_DANRE	reviewed	Neuroblastoma suppressor of tumorigenicity 1	nbl1 zgc:77251	Danio rerio (Zebrafish) (Brachydanio rerio)	183	semicircular canal development [GO:0060872]; semicircular canal formation [GO:0060876]	extracellular region [GO:0005576]		extracellular region [GO:0005576]; semicircular canal development [GO:0060872]; semicircular canal formation [GO:0060876]	GO:0005576; GO:0060872; GO:0060876
g2188.t1	25.15098251	3.457800156	0.935585595	3.695867247	0.000219137	0.035967184	6	4	8	2	3	154	0	9	18	1	11	29	193	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
