target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	596.038	111	27.4239
Phel_contig_10	2138	1826.27	18704.3	1508.19
Phel_contig_100	10344	10032.3	1309	19.2141
Phel_contig_1000	4676	4364.27	8048	271.555
Phel_contig_10000	843	536.765	5	1.37172
Phel_contig_10001	1108	796.266	30	5.54809
Phel_contig_10002	3127	2815.27	89.3447	4.67337
Phel_contig_10003	1120	808.266	27.1773	4.95145
Phel_contig_10004	712	415.874	37	13.1015
Phel_contig_10005	1319	1007.27	93	13.5963
Phel_contig_10006	861	553.844	50	13.2942
Phel_contig_10007	777	475.229	26	8.05658
Phel_contig_10008	510	244.584	11	6.62285
Phel_contig_10009	609	325.446	10.8093	4.89102
Phel_contig_1001	1473	1161.27	252	31.9558
Phel_contig_10010	771	469.71	5	1.56755
Phel_contig_10011	1568	1256.27	142.837	16.7432
Phel_contig_10012	692	398.122	337	124.651
Phel_contig_10013	2373	2061.27	48	3.42916
Phel_contig_10014	793	489.915	48	14.4278
Phel_contig_10015	1463	1151.27	19.7718	2.52901
Phel_contig_10016	938	627.947	37.2491	8.73519
Phel_contig_10017	1069	757.266	275.692	53.6113
Phel_contig_10018	846	539.697	71.6173	19.5411
Phel_contig_10019	679	386.607	19.0059	7.23935
Phel_contig_1002	859	551.997	3	0.800323
Phel_contig_10020	1174	862.266	44	7.51436
Phel_contig_10021	2110	1798.27	310	25.3856
Phel_contig_10022	806	502.122	51	14.9569
Phel_contig_10023	1575	1263.27	19	2.21482
Phel_contig_10024	928	618.307	21	5.00145
Phel_contig_10025	1488	1176.27	96	12.0184
Phel_contig_10026	598	316.143	114	53.1009
Phel_contig_10027	1401	1089.27	410.284	55.4665
Phel_contig_10028	543	270.88	0	0
Phel_contig_10029	1102	790.266	0	0
Phel_contig_1003	1146	834.266	186	32.8314
Phel_contig_10030	2857	2545.27	601	34.7714
Phel_contig_10031	2059	1747.27	239.658	20.1983
Phel_contig_10032	935	625.057	69	16.2559
Phel_contig_10033	516	249.262	2	1.18156
Phel_contig_10034	4128	3816.27	281.046	10.8447
Phel_contig_10035	2487	2175.27	46	3.11405
Phel_contig_10036	1004	692.266	1	0.21272
Phel_contig_10037	2471	2159.27	664.207	45.2979
Phel_contig_10038	834	528.194	63	17.5642
Phel_contig_10039	1685	1373.27	32.7412	3.51091
Phel_contig_1004	1581	1269.27	298.225	34.5997
Phel_contig_10040	2252	1940.27	183.042	13.8922
Phel_contig_10041	1570	1258.27	36.8033	4.3072
Phel_contig_10042	516	249.262	0	0
Phel_contig_10043	2675	2363.27	351	21.8713
Phel_contig_10044	2379	2067.27	202	14.3892
Phel_contig_10045	1053	741.266	13	2.58256
Phel_contig_10046	1354	1042.27	116.11	16.4048
Phel_contig_10047	604	321.214	14	6.41821
Phel_contig_10048	4774	4462.27	159.881	5.27621
Phel_contig_10049	1759	1447.27	237	24.1146
Phel_contig_1005	669	377.63	240	93.5892
Phel_contig_10050	2528	2216.27	122.167	8.11733
Phel_contig_10051	991	679.402	3	0.650241
Phel_contig_10052	1533	1221.27	62	7.47587
Phel_contig_10053	1349	1037.27	122	17.3201
Phel_contig_10054	842	535.819	0	0
Phel_contig_10055	1012	700.266	51.2891	10.7856
Phel_contig_10056	605	322.102	138.712	63.4164
Phel_contig_10057	565	288.512	2	1.02082
Phel_contig_10058	1421	1109.27	609	80.8467
Phel_contig_10059	671	379.393	57.2482	22.2204
Phel_contig_1006	680	387.416	39	14.8241
Phel_contig_10060	1142	830.266	58	10.2871
Phel_contig_10061	959	648.198	3	0.681545
Phel_contig_10062	725	427.767	60	20.655
Phel_contig_10063	519	251.604	33	19.3142
Phel_contig_10064	1344	1032.27	136	19.4012
Phel_contig_10065	650	360.839	13.2662	5.41393
Phel_contig_10066	805	501.236	14.3637	4.21991
Phel_contig_10067	1839	1527.27	213.077	20.5448
Phel_contig_10068	1288	976.266	32	4.82683
Phel_contig_10069	2996	2684.27	33.042	1.81268
Phel_contig_1007	757	456.904	643.133	207.28
Phel_contig_10070	2396	2084.27	368.47	26.0333
Phel_contig_10071	945	634.663	0	0
Phel_contig_10072	1011	699.266	52.2062	10.9941
Phel_contig_10073	1739	1427.27	362	37.3494
Phel_contig_10074	857	550.08	141	37.7463
Phel_contig_10075	974	662.771	70	15.553
Phel_contig_10076	591	310.135	39	18.518
Phel_contig_10077	1218	906.266	27	4.38721
Phel_contig_10078	1722	1410.27	138	14.4098
Phel_contig_10079	4519	4207.27	432.86	15.1505
Phel_contig_1008	917	607.691	67.7118	16.4082
Phel_contig_10080	1179	867.266	151	25.6392
Phel_contig_10081	516	249.262	48	28.3574
Phel_contig_10082	762	461.552	21.0577	6.71846
Phel_contig_10083	762	461.552	2.01321	0.642316
Phel_contig_10084	648	359.122	18.8351	7.72336
Phel_contig_10085	993	681.368	71.924	15.5443
Phel_contig_10086	1909	1597.27	2	0.184388
Phel_contig_10087	1279	967.266	8.44607	1.28585
Phel_contig_10088	796	492.703	3	0.896637
Phel_contig_10089	995	683.317	0	0
Phel_contig_1009	2709	2397.27	1043.91	64.1252
Phel_contig_10090	2530	2218.27	142	9.4266
Phel_contig_10091	1233	921.266	34.0831	5.44796
Phel_contig_10092	1180	868.266	97	16.4513
Phel_contig_10093	689	395.461	6	2.23423
Phel_contig_10094	1244	932.266	31.3665	4.95458
Phel_contig_10095	1435	1123.27	42.0238	5.50926
Phel_contig_10096	2449	2137.27	323.347	22.2788
Phel_contig_10097	503	239.233	16.8146	10.3501
Phel_contig_10098	1041	729.266	104	21.0004
Phel_contig_10099	744	445.114	37.4168	12.3787
Phel_contig_101	1984	1672.27	455	40.067
Phel_contig_1010	4061	3749.27	892	35.0348
Phel_contig_10100	1727	1415.27	45	4.68225
Phel_contig_10101	1002	690.266	99	21.1203
Phel_contig_10102	587	306.69	15.2873	7.34027
Phel_contig_10103	1633	1321.27	343	38.2282
Phel_contig_10104	5712	5400.27	1290.25	35.1834
Phel_contig_10105	4352	4040.27	211.037	7.69181
Phel_contig_10106	2694	2382.27	142	8.77766
Phel_contig_10107	3186	2874.27	428.824	21.9701
Phel_contig_10108	6573	6261.27	1560	36.6896
Phel_contig_10109	1009	697.266	3	0.633583
Phel_contig_1011	3851	3539.27	234	9.73606
Phel_contig_10110	1167	855.266	3	0.516536
Phel_contig_10111	3878	3566.27	90	3.71629
Phel_contig_10112	841	534.833	24.1781	6.6571
Phel_contig_10113	1177	865.266	44	7.48831
Phel_contig_10114	630	343.601	133.253	57.109
Phel_contig_10115	691	397.235	10	3.70709
Phel_contig_10116	1824	1512.27	113	11.0035
Phel_contig_10117	510	244.584	132	79.4742
Phel_contig_10119	2988	2676.27	98	5.39234
Phel_contig_1012	6979	6667.27	4874	107.651
Phel_contig_10120	1053	741.266	88	17.4819
Phel_contig_10121	2404	2092.27	326	22.9446
Phel_contig_10122	858	551.052	27	7.21525
Phel_contig_10123	1445	1133.27	4.2257	0.549094
Phel_contig_10124	1142	830.266	50.6655	8.9862
Phel_contig_10125	786	483.632	124.109	37.7891
Phel_contig_10126	824	518.988	82	23.2668
Phel_contig_10127	6932	6620.27	1021.07	22.7124
Phel_contig_10128	954	643.327	84	19.2277
Phel_contig_10129	878	570.207	10	2.58255
Phel_contig_1013	4563	4251.27	1603.89	55.5568
Phel_contig_10130	4942	4630.27	676.465	21.5139
Phel_contig_10131	2252	1940.27	268.912	20.4093
Phel_contig_10132	664	373.218	190	74.9672
Phel_contig_10133	958	647.246	4	0.910062
Phel_contig_10134	1692	1380.27	944	100.714
Phel_contig_10135	1382	1070.27	44	6.05399
