Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	34	0.8246422507882609	7.649498179315213E-8	P62914, P18101, P49180, P63221, Q8JGR4, O09167, Q8CBC7, O61231, P46783, Q6P799, P47955, P62907, P51410, P46782, P27085, Q6QMZ4, Q9VXX8, P62861, P38983, P61255, Q02543, P36241, P61314, Q90YV0, P27659, P05388, P24049	3704	39	8683	2.043681120894944	5.43884372565695E-4	5.440323105128979E-4	5.439558155311048E-4
GOTERM_BP_DIRECT	GO:0006412~translation	108	2.6194518554450643	3.4203830845720204E-6	A1XQU3, P82924, Q62448, Q9IA76, S4R2K0, P62914, Q803A7, Q6P3J5, O42387, Q99L45, P62083, P49180, Q2HJI0, Q58DV5, P63245, P17702, O09167, Q0VFH6, P17074, P46783, Q8WQI5, P62752, Q7T2A5, Q99JT1, Q56K03, Q90Z10, O43324, Q9CQL5, Q6B860, P46782, O01727, Q99MN1, Q6PFQ2, Q6NZJ6, Q6QAP7, Q9VXX8, Q8N5C6, P84175, Q8R050, P61354, Q8BWW4, P62282, Q6DRC4, P23358, Q6PBY1, Q3T0B7, P05388, P24049, P08736, P29314, Q9GNE2, Q8TEQ6, P59325, P18101, F1QGW6, Q7ZY11, P31674, P63221, Q05AY2, P62250, O61231, P47897, Q6DH02, Q8UVK2, P79781, Q90YS0, Q9NYK5, Q8BP74, P41116, P62907, Q8ISP0, P51410, P62909, Q6GR45, P47772, Q0VCQ4, Q6PF21, Q99N94, Q32PI6, P38983, P62861, O54873, Q6AZN4, P61255, Q02543, P33095, Q8VDC0, P36241, Q4R8Z2, Q4R4Z6, P27659, Q13310, Q8BGQ7	3704	180	8683	1.4065334773218143	0.02403231827020813	0.012162882248738105	0.012161172057195819
GOTERM_BP_DIRECT	GO:0006508~proteolysis	150	3.638127577007034	1.315994685889287E-5	P32822, B2RYG6, P48052, Q9Y3Q0, Q8R4K8, Q8C1A5, O15484, Q08048, Q9QX15, Q5ZKL5, P21128, P17945, Q5I2E5, Q8BW70, Q6ICB0, P07478, Q86UV5, Q6TH47, Q9H6P5, P19221, P12821, Q04592, Q8TE57, P15145, P87362, Q7LHG5, Q9WVM6, O54697, O88967, Q62381, B2GUZ1, Q8NHM4, Q8CHN8, O54975, Q5XJY4, Q28BR5, O00602, Q6NX27, Q08CH3, P10619, Q19AZ8, O43895, Q9WTR0, Q99PW6, A0A0R4IB93, Q8NF86, O57382, P16444, Q9UDY8, P48147, Q949P2, B5DEQ3, O35548, P23004, Q6GQ29, Q9R0S2, P07858, Q61824, O77656, P17538, Q9W436, Q60692, Q00493, Q8BY87, D3ZPG5, Q3UR85, Q92542, Q9NQH7, P29119, Q9H3G5, Q9ULZ9, Q8BM88, Q9UKP5, Q9UKP4, Q9VT65, Q8IYS1, P56399, Q3UVK0, P78509, P20918, Q3SYW2, O76031, P55866, Q9P2N4, Q9Y4G8, P70627, Q95M12, O08992, P0C872, P20231, Q9UI42, Q9Y5R2, P55115, Q9CZR2, P55112, Q96LD8, P70059, Q9D7Z6, P13676, P90850, Q5ZIM5, P00734, B0BM95, P00730, Q5JVF3, Q8BJQ2, Q8N531, Q3ULA2, Q9VAC5, P04813, P16519, P58872, P58873, Q9CR00, A8K7I4, Q96DT6, A3KG59, O57460, Q80V42, P69527, Q5RE15, Q99542, O57579, P00767, Q14790, Q60928, P98064, Q15485, Q9UPU5, Q9NVE5, O15072, Q10751, Q1JPJ2, Q9CZP0, F1NV61, Q9JLG8, P70195, Q2T9J0, Q6P8K8, Q0VA42, P15684, Q6Q473, Q96KP4, Q9JJ22, P47245, Q9UMX1, Q5I0D7, P98074	3704	269	8683	1.307187246581612	0.0893477317241127	0.03119784735348203	0.03119346070452907
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	84	2.037351443123939	6.813854085241849E-5	A9JTG5, O95714, P46471, Q3U1J4, Q9R1R2, A0A0G2JZ79, Q969H0, Q6GPF3, P51665, Q8BZZ3, Q9Z2U1, P48601, P23787, Q5F418, Q9H3F6, Q9VBP9, Q32KL2, Q2KHZ8, O43242, Q8BK63, P52486, Q6ZQM0, Q8VBV4, P55036, A0JM49, P55035, Q8QG64, O08759, Q7SXR3, P17439, A5HK05, Q80U30, Q5T447, Q0IIF7, Q8WV99, Q4R834, Q9V3G7, B4F6W9, O88685, A7E305, Q8CCH2, P49407, Q9HAU4, Q9Z255, Q3ULA2, O70277, A9JRZ0, A4IF63, Q8VDM4, Q9ES00, Q9H8W5, Q9V3H2, Q5NVK7, Q9BYM8, P62255, Q9Y2E6, Q03601, P25789, P25788, Q5ZK10, Q5ZM55, P62334, P25787, O35625, Q5ZHY5, P48463, Q6PJ21, Q61382, Q9C040, P54802, P54725, Q9WVS6, P0C2W1, A1Z6E0, Q6I6G8, Q80Z37, Q9Y263, Q8BK06, F1MNN4, Q15058, O73817, Q9R1A8	3704	141	8683	1.3965580625890355	0.38406744698694295	0.12115032563560008	0.12113329100038697
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	149	3.61387339316032	3.720947644574514E-4	Q6INH1, O95714, Q91ZT9, Q8WXK3, Q91ZT8, Q9R1R2, P53804, Q8CJB9, E1C760, Q5REG4, P15374, Q9BXM7, Q5XH39, Q6PFK1, Q9JLV2, P23787, Q8WWI1, Q6TEM9, Q71U00, Q9NXK8, Q58WW2, E9QAU8, Q5PQN1, Q8BI21, Q8CF97, A0JM49, Q9Y4L5, F6UA42, Q810L3, Q8K0G5, Q9Y4D8, Q3V0Q1, Q5RCM6, Q4KLT0, B4F6W9, Q5XI67, Q5FVN8, A7E305, Q6ZT12, P49407, Q9HAU4, Q3URF8, Q0IJ33, A5D8S5, O15541, Q9Z255, A9JRZ0, Q9ES00, P18101, Q5XGG5, A0AVT1, Q7L622, P62255, Q9NR09, Q9Y6I7, Q9HAT8, P61963, O60140, P79781, Q6NW85, Q93008, Q924T7, Q8TDB6, Q8HXD5, Q6PJ21, Q9CPX9, Q56A24, P0C2W1, Q6I6G8, Q5XGI3, P22682, O95628, Q9CQI9, Q3TUL7, A9JTG5, Q80SY4, Q6TDP4, O54928, E9Q4F2, O94822, E1BNS0, Q3U1J4, Q9UBF6, A0A0G2JZ79, Q969H0, Q8BZQ7, Q6GPF3, D4A2K4, Q8C7R4, P63245, Q66K64, Q8BZZ3, P0CG50, B5DF45, Q8K430, Q9H3F6, Q2HJ46, Q6GPV5, Q9Y5A7, Q5RKH6, A2A6Q5, Q8VBV4, P21580, Q8QG64, O08759, Q6J1I7, Q7L273, Q9R049, A5HK05, Q8N5D0, Q5T447, Q5BJN8, Q9P2G1, A6H7H7, Q5FWL3, O35717, Q15751, Q8WV16, Q9D787, Q3ULA2, Q8N806, O70277, Q3TQF0, A4IF63, Q8VHQ4, Q8BGZ4, Q5XGC0, Q7Z6M2, Q9W3M3, Q8VHQ2, Q923V4, Q9Y2E6, Q03601, P25867, Q8BM54, Q5RB36, Q4G0X4, P24392, Q9C040, Q149N8, Q9WVS6, Q5ZIJ9, Q9NV58, Q15370, Q93034, Q9Y385, Q8BK06	3704	281	8683	1.2430218749759805	0.9291244977995488	0.4524381045198505	0.452374488363422
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	95	2.3041474654377883	4.1252737825361066E-4	Q9H0E2, Q80SY4, P56399, P46471, Q3U1J4, Q9UBF6, Q8BZQ7, Q8CJB9, P53804, Q6GPF3, Q70CQ4, Q8C7R4, P15374, Q9BXM7, Q8BZZ3, Q5E964, Q92890, Q9JLV2, Q9Z2U1, Q8BW70, Q6TEM9, A6QR55, Q71U00, Q9H3F6, Q9VBP9, Q9Y5A7, Q15386, Q2HJ46, Q5PQN1, O43242, Q5RKH6, Q86UV5, P60901, Q6ZQM0, P55035, Q810L3, O08759, Q6J1I7, F6UA42, Q9R049, F6P3G4, Q9P2G1, Q5U2S1, F8VPZ3, Q5SPX3, B2GUZ1, B4F6W9, P46379, Q6ZT12, Q8NFA0, Q8BJQ2, P49407, Q9HAU4, Q3URF8, Q3ULA2, A9JRZ0, Q9R1P4, Q9ES00, P18101, A0A0R4IB93, A0AVT1, Q9PTW9, P62255, P60670, P25789, P25788, O60140, P25867, Q5ND34, Q91YT2, Q5F3N6, Q8BM54, Q6NW85, Q5RB36, Q93008, P25787, Q4G0X4, Q9NQC7, Q8TDB6, Q9NVE5, Q9UPU5, Q5ZHY5, E1C1R4, Q9CPX9, Q9WVS6, P0C2W1, Q8BY87, Q80Z37, D3ZPG5, Q9NV58, Q93034, Q9UMX0, P22682, O95628	3704	169	8683	1.3177581888123509	0.9468427106353158	0.4524381045198505	0.452374488363422
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	25	0.6063545961678389	4.4531309499985284E-4	P05106, Q6GPF3, Q06124, B8JK39, Q99JY8, Q00651, Q9VZI3, A2ARA8, Q9DF58, P53708, B0FYY4, P00520, P26039, Q9Y490, Q9EQH1, O15072, Q8CFN2, P12606, Q8VI36, Q03001, P18433, Q96RT1, Q9H0C8, Q66H76, Q90687	3704	33	8683	1.7759261077295634	0.9579027183473902	0.4524381045198505	0.452374488363422
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	32	0.7761338830948339	5.980790446212289E-4	A9JTG5, Q96EP0, O42123, Q8BTM8, Q9UHD2, Q3ZCC3, Q9NYY3, Q9Y4K3, Q9WUN2, Q1RMT8, Q6R653, Q9BYM8, Q9BXM7, Q9UDY8, Q9HAT8, Q14790, B5DF45, P00520, Q924T7, Q60HG7, Q60855, P39429, Q9NR30, Q9PSX7, Q9WVS6, P37198, Q9R0I6, Q5U2S1, Q04865, Q05B79, Q8K4Y7, P21333	3704	46	8683	1.630763451967321	0.9858042215205887	0.5316922706682724	0.5316175107876948
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	15	0.36381275770070337	9.723591194358626E-4	Q9VAC5, P39429, Q3ZCC3, Q5ZJB4, Q63486, Q9Y4K3, P92208, Q9DF58, Q60803, P25789, P25788, P48059, B5DF45, Q3MHX1, P25787	3704	17	8683	2.0684315842967855	0.9990109665188672	0.7683797841586505	0.7682717442564909
GOTERM_BP_DIRECT	GO:0032728~positive regulation of interferon-beta production	16	0.38806694154741694	0.0014122816951786248	P05423, O95786, Q8VI93, Q8R5F7, Q06124, Q9UHD2, Q9BRZ2, Q9WUN2, Q75Q39, Q80VI1, O14802, P58682, Q9NW08, E1BD59, Q90687, Q9DBU3	3704	19	8683	1.9740820734341256	0.9999568680563663	1.0	1.0
