geneID	geneName
g3452.t1	CP46A_HUMAN
g3453.t1	CP46A_HUMAN
g3454.t1	SMOC1_HUMAN
g3454.t1	SMOC1_HUMAN
g3454.t1	SMOC1_HUMAN
g3455.t1	DNJC4_MOUSE
g3457.t1	SPTN5_HUMAN
g3457.t1	SPTN5_HUMAN
g3457.t1	SPTN5_HUMAN
g3457.t1	SPTN5_HUMAN
g3457.t1	SPTN5_HUMAN
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3458.t1	SPTN1_MOUSE
g3459.t1	SPTCB_DROME
g3459.t1	SPTCB_DROME
g3459.t1	SPTCB_DROME
g3460.t1	CP46A_MOUSE
g3461.t1	CP46A_HUMAN
g3462.t1	BBS1_HUMAN
g3465.t1	TNKS1_CAEEL
g3465.t1	TNKS1_CAEEL
g3465.t2	TNKS1_CAEEL
g3465.t2	TNKS1_CAEEL
g3465.t3	TNKS1_CAEEL
g3465.t3	TNKS1_CAEEL
g3465.t4	TNKS1_CAEEL
g3465.t4	TNKS1_CAEEL
g3465.t5	TNKS1_CAEEL
g3465.t5	TNKS1_CAEEL
g3466.t1	ISAHY_ROSAI
g3468.t1	CAD96_DROME
g3469.t1	MRCKA_HUMAN
g3470.t1	MRCKA_MOUSE
g3471.t1	NOP53_HUMAN
g3472.t1	TTC9C_RAT
g3473.t1	SPRE2_MOUSE
g3475.t1	ARI4A_HUMAN
g3477.t1	RBM34_MOUSE
g3479.t1	APMAP_HUMAN
g3480.t1	SIAH1_RAT
g3481.t1	ANXA8_RABIT
g3481.t2	ANXA8_RABIT
g3489.t1	TNKS1_CAEEL
g3489.t1	TNKS1_CAEEL
g3489.t2	TNKS1_CAEEL
g3492.t1	PYC_HUMAN
g3493.t1	KARG_STIJA
g3494.t1	RPC6_HUMAN
g3495.t1	KAT5_PONAB
g3503.t1	COQ6_DANRE
g3504.t1	COMD1_CANLF
g3505.t1	KCNAE_DROME
g3505.t2	KCNAE_DROME
g3506.t1	HHAT_MOUSE
g3511.t1	NEMF_MOUSE
g3512.t1	NEMF_MOUSE
g3513.t1	NEMF_HUMAN
g3514.t1	RHOU_MOUSE
g3517.t1	RPAP1_RAT
g3519.t1	RPAP1_HUMAN
g3522.t1	ALKB6_DANRE
g3523.t1	PPM1B_BOVIN
g3526.t1	NO66_BRAFL
g3531.t1	COQ8B_DANRE
g3532.t1	POP7_HUMAN
g3533.t1	E2AK4_MOUSE
g3534.t1	ZNRD2_HUMAN
g3537.t1	KCNK2_HUMAN
g3538.t1	T151B_HUMAN
g3540.t1	DRC5_HUMAN
g3543.t1	TARB1_HUMAN
g3544.t1	TARB1_HUMAN
g3548.t1	ZDH22_RAT
g3550.t1	UBAC2_CHICK
g3555.t1	SYVN1_DANRE
g3556.t1	SPDYA_RAT
g3557.t1	GABT_HUMAN
g3558.t1	GABT_HUMAN
g3559.t1	TR61B_HUMAN
g3560.t1	LECG_PATPE
g3565.t1	GRDN_HUMAN
g3565.t2	GRDN_HUMAN
g3569.t1	GLUCM_MOUSE
g3570.t1	Y2760_CLOB8
g3577.t1	PLXA4_DANRE
g3578.t1	PLXA4_DANRE
g3579.t1	DCAF5_MOUSE
g3580.t1	NDUF7_MOUSE
g3581.t1	BTBD9_HUMAN
g3583.t1	ASGL1_HUMAN
g3584.t1	KLC_STRPU
g3584.t2	KLC_STRPU
g3584.t3	KLC_STRPU
g3591.t1	HECD1_MOUSE
g3591.t1	HECD1_MOUSE
g3592.t1	HECD1_HUMAN
g3593.t1	ENOPH_BRAFL
g3597.t1	KTN1_HUMAN
g3597.t2	KTN1_HUMAN
g3598.t1	ADAP1_HUMAN
g3598.t2	ADAP1_HUMAN
g3600.t1	ASATR_DROME
g3601.t1	TR112_BOVIN
g3607.t1	LCLT1_MOUSE
g3609.t1	TSSK1_BOVIN
g3611.t1	WDR64_HUMAN
g3613.t1	PSN1_CHICK
g3616.t1	CUBN_MOUSE
g3616.t1	CUBN_MOUSE
g3616.t1	CUBN_MOUSE
g3616.t1	CUBN_MOUSE
g3616.t1	CUBN_MOUSE
g3616.t1	CUBN_MOUSE
g3617.t1	CUBN_PIG
g3622.t1	KCNK1_BOVIN
g3624.t1	TPC1_RAT
g3624.t1	TPC1_RAT
g3625.t1	ASB3_HUMAN
g3626.t1	VASH2_HUMAN
g3627.t1	RM48_HUMAN
g3631.t1	MOCS3_DANRE
g3632.t1	MOCS3_DANRE
g3637.t1	HNRPL_HUMAN
g3638.t1	HNRPL_MOUSE
g3639.t1	TRIPB_HUMAN
g3640.t1	TRIPB_HUMAN
g3641.t1	MBIP1_HUMAN
g3645.t1	SIR2_MACFA
g3646.t1	RDH11_MOUSE
g3648.t1	RDH13_HUMAN
g3650.t1	ANR63_HUMAN
g3658.t1	ZFY26_MOUSE
g3658.t1	ZFY26_MOUSE
g3660.t1	ZFY26_AILME
g3660.t2	ZFY26_AILME
g3661.t1	BAZ1A_XENLA
g3663.t1	BAZ1A_HUMAN
g3663.t1	BAZ1A_HUMAN
g3663.t1	BAZ1A_HUMAN
g3665.t1	NUD22_BOVIN
g3666.t1	RSPH9_DANRE
g3667.t1	RT18A_HUMAN
g3668.t1	CRYD_XENLA
g3671.t1	ACTN1_CHICK
g3671.t2	ACTN1_CHICK
g3671.t3	ACTN1_CHICK
g3671.t4	ACTN4_BOVIN
g3672.t1	SUOX_MOUSE
g3672.t1	SUOX_MOUSE
g3673.t1	SUOX_CHICK
g3680.t1	ZMYM1_HUMAN
g3685.t1	SCYL1_BOVIN
g3686.t1	RTF1_HUMAN
g3686.t2	RTF1_HUMAN
g3687.t1	LLR1_HUMAN
g3688.t1	BIRC6_HUMAN
g3688.t1	BIRC6_HUMAN
g3688.t1	BIRC6_HUMAN
g3688.t1	BIRC6_HUMAN
g3688.t2	BIRC6_HUMAN
g3688.t2	BIRC6_HUMAN
g3688.t2	BIRC6_HUMAN
g3688.t2	BIRC6_HUMAN
g3688.t3	BIRC6_HUMAN
g3688.t3	BIRC6_HUMAN
g3688.t3	BIRC6_HUMAN
g3688.t3	BIRC6_HUMAN
g3689.t1	HSP83_BOMMO
g3689.t1	HSP83_BOMMO
g3690.t1	ZNF91_HUMAN
g3690.t1	ZNF91_HUMAN
g3690.t1	ZNF91_HUMAN
g3690.t1	ZNF91_HUMAN
g3690.t1	ZNF91_HUMAN
g3691.t1	TSSK1_BOVIN
g3692.t1	RBM25_MOUSE
g3692.t1	RBM25_MOUSE
g3692.t2	RBM25_HUMAN
g3692.t2	RBM25_HUMAN
g3692.t3	RBM25_MOUSE
g3692.t3	RBM25_MOUSE
g3693.t1	LECE_HELCR
g3696.t1	GABR2_HUMAN
g3696.t1	GABR2_HUMAN
g3697.t1	GABR1_MOUSE
g3697.t1	GABR1_MOUSE
g3697.t2	GABR1_MOUSE
g3697.t2	GABR1_MOUSE
g3698.t1	RTJK_DROME
g3699.t1	GABR1_HUMAN
