gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	transcript_ID
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	49.67	455	216	6	1714	3057	557	1005	1.57E-130	425	Phel_contig_13906
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	61.702	235	89	1	598	1302	223	456	1.18E-77	279	Phel_contig_13906
g10017.t1	415.5540818	-2.457067763	0.303047873	-8.107853519	5.15E-16	4.86E-14	299	502	150	142	389	717	689	161	113	161	158	618	235	647	sp	Q8IVF7	FMNL3_HUMAN	56.627	83	35	1	238	486	45	126	9.87E-22	105	Phel_contig_13906
g10035.t1	314.0211112	2.169352189	0.284864324	7.615387419	2.63E-14	1.91E-12	76	139	676	895	95	90	69	646	431	331	854	150	587	58	sp	A5GFY8	SERA_PIG	51.589	535	251	6	1	1587	1	533	0	531	Phel_contig_11643
g10105.t1	50.44547625	-4.862883251	1.132000276	-4.295832212	1.74E-05	0.00015244	3	6	0	0	73	30	205	11	6	0	0	70	16	59	sp	Q91V92	ACLY_MOUSE	60.687	262	83	4	1	783	391	633	7.73E-96	306	Phel_contig_1060
g10106.t1	748.289296	-4.647359152	0.52476816	-8.856023498	8.29E-19	1.30E-16	478	220	82	29	659	642	1419	73	57	97	72	1990	79	2416	sp	Q91V92	ACLY_MOUSE	66.887	302	99	1	19	921	43	344	4.86E-142	431	Phel_contig_1060
g10109.t1	1207.8787	2.012723952	0.51872862	3.880109703	0.000104409	0.000713168	835	1084	2379	3306	137	216	168	2373	1947	945	2155	202	4201	134	sp	O88377	PI42B_RAT	63.255	381	133	2	70	1194	36	415	8.96E-152	438	Phel_contig_7273
g10157.t1	55.74819455	1.578295279	0.420039509	3.75749244	0.000171625	0.001091882	16	54	128	68	32	29	2	97	59	66	120	27	212	15	sp	Q7ZYA5	PRKAA_XENLA	36.177	293	164	3	10	855	29	309	2.74E-40	145	Phel_contig_18341
g10168.t1	4.082173681	-2.538075389	1.063625037	-2.386250135	0.017021169	0.049193895	0	2	3	0	7	8	0	1	3	0	2	4	1	21	sp	Q6BD04	GPR54_ORENI	40.789	304	173	4	94	993	47	347	5.02E-68	221	Phel_contig_17925
g10192.t1	409.0932967	-0.781987056	0.190107863	-4.113386168	3.90E-05	0.000309484	464	500	413	374	398	458	329	326	282	422	316	606	459	287	sp	F6P3G4	PS11A_DANRE	72.115	416	116	0	7	1254	5	420	0	595	Phel_contig_2003
g10280.t1	379.3441985	-1.104033857	0.261642679	-4.219624499	2.45E-05	0.000204885	504	546	437	258	290	339	349	320	214	229	239	525	384	409	sp	Q8C172	CERS6_MOUSE	48.495	299	154	0	7	903	2	300	1.13E-95	293	Phel_contig_10344
g10284.t1	946.5028374	-0.954934439	0.249490188	-3.827543061	0.000129429	0.000859681	915	985	655	643	969	808	1076	971	755	1031	597	1282	889	981	sp	P35978	KINH_STRPU	71.23	935	178	7	1	2547	1	930	0	1242	Phel_contig_2646
